scenario,inform,requests,gets_offer,accepts_offer,mean_wait,corr_mean_wait,perc_wait,perc_wait_req,bike,car,pt,nP,vot_inf,vot_req,std_perc_wait,std_exp_wait,std_corr_wait,std_perc_wait_req,cons_surplus,pickup_time,match_time,corr_match_time,comm-rate,fare
0.15_2.0,11124.0,764.9333333333334,1.0,764.9333333333334,117.16771262715265,117.16771262715265,138.4376069616815,124.05823202682552,7447.666666666667,2333.6666666666665,577.7333333333333,75000.0,22.745132808982717,28.615022836414568,80.8641784262641,106.94130171525968,106.94130171525968,60.77807620297656,683.6767918076815,119.78924517790217,-2.6215325507495235,,15,2.0
0.15_2.25,7714.333333333333,511.93333333333334,1.0,511.93333333333334,125.85343628087787,125.85343628087787,145.13141263938738,129.8680859991717,5156.599999999999,1675.1333333333332,370.6666666666667,75000.0,25.318765890693356,31.52094732757617,72.933590282004,107.78018941660217,107.78018941660217,58.512405843907395,437.1554925671091,128.86049075756605,-3.007054476688188,,15,2.25
0.15_2.5,5409.666666666667,328.8666666666667,1.0,328.8666666666667,142.6053073191207,142.6053073191207,162.4020901489878,145.00067432096992,3601.6,1237.8666666666668,241.33333333333334,75000.0,27.922963899986712,34.47660326267391,83.25802219952168,117.90479750819678,117.90479750819678,62.52495654542877,270.5104059276753,145.9823341877619,-3.3770268686412046,,15,2.5
0.1_0.5,72519.0,3322.7333333333336,0.8369092047667737,2781.6,401.62703738886916,629.6483320719898,818.5667530482339,707.0350580919212,52168.13333333333,10844.6,6183.533333333333,75000.0,10.233057905857008,10.701636277143498,340.647967225525,270.3197013006533,570.8795788587097,303.49473303023944,1340.337102465977,239.4410899359108,162.1859474529583,,10,0.5
0.1_0.75,61695.333333333336,4554.400000000001,0.9944312324776495,4529.0,195.46447285865358,204.39926503324378,274.86645134124507,231.9456204580455,43051.6,9155.2,4934.133333333334,75000.0,11.364263342152164,15.437036234866994,188.60366955649192,203.68999654305296,235.16384935229408,154.63411436147223,4038.6050749427427,186.0049004123756,9.459572446277974,,10,0.75
0.1_1.0,46793.0,3621.7999999999997,0.9998902606310014,3621.4,145.46437205053346,145.6441703414913,170.23671211534239,148.4783990082276,32332.533333333336,7358.333333333333,3480.3333333333335,75000.0,13.182317798915378,17.863290627065627,123.43708640149691,162.85863071735244,163.60268425980055,101.70238403237374,3431.488122223525,145.69021791772334,-0.2258458671898893,,10,1.0
0.1_1.25,33426.0,2558.0,1.0,2558.0,120.37079426447583,120.37079426447583,140.49379817782605,126.76297897569953,22856.333333333332,5710.133333333332,2301.5333333333333,75000.0,15.365395121502102,20.362630546053992,95.67625391092893,132.25263498632754,132.25263498632754,81.36193147904494,2425.5751946164555,121.942675691905,-1.5718814274291428,,10,1.25
0.1_1.5,23290.666666666668,1746.1333333333332,1.0,1746.1333333333332,114.83413120329665,114.83413120329665,128.1218390644714,117.35246099157364,15808.199999999999,4283.400000000001,1452.9333333333334,75000.0,17.73057455028012,23.20109187038895,76.23266487162546,117.16691107824282,117.16691107824282,65.71922326955024,1657.0263823869063,116.81840265040928,-1.984271447112614,,10,1.5
0.1_1.75,16084.333333333334,1153.8,1.0,1153.8,110.46103336412015,110.46103336412015,128.95630003437603,118.12361762538482,10861.6,3161.933333333333,907.0,75000.0,20.210242701334842,25.91681989528237,70.99183749255477,108.22380373010753,108.22380373010753,61.29229407785842,1062.481394968576,112.84333224106133,-2.3822988769411997,,10,1.75
0.1_2.0,11124.0,776.9333333333334,1.0,776.9333333333334,113.94586780045329,113.94586780045329,131.395362040171,118.22732875132733,7441.0,2329.066666666666,577.0,75000.0,22.745132808982717,28.60405660127671,74.71140243528917,104.11707420496059,104.11707420496059,58.456554867703005,706.2994740659583,116.74875482631914,-2.8028870258658536,,10,2.0
0.1_2.25,7714.333333333333,521.6,1.0,521.6,123.37176294576211,123.37176294576211,137.09924289647844,123.10441587589564,5149.999999999999,1673.1999999999998,369.5333333333333,75000.0,25.318765890693356,31.567145703320055,69.59292919092353,105.69117629129943,105.69117629129943,56.01727343007011,454.9236280550376,126.58333587699269,-3.211572931230569,,10,2.25
0.1_2.5,5409.666666666667,335.73333333333335,1.0,335.73333333333335,132.10401595326448,132.10401595326448,153.81947677576005,137.52624083727778,3596.0,1234.2666666666667,243.66666666666666,75000.0,27.922963899986712,34.57507318262452,81.1645729306652,112.37595105106952,112.37595105106952,60.51326253689257,289.0465375599749,135.69541668027162,-3.5914007270071573,,10,2.5
0.25_0.5,72519.0,1916.2666666666664,0.4596026361169186,879.1333333333333,447.5767718529084,1178.441709396068,1353.9794800596328,1261.2232196561442,53185.46666666667,11131.666666666666,6285.599999999999,75000.0,10.233057905857008,8.526824155852852,305.01896229877815,250.60356550275154,691.6090824283025,312.79434956165613,391.7591037626914,193.51535184962043,254.06142000328796,,25,0.5
0.25_0.75,61695.333333333336,3054.0,0.9358813516011787,2857.933333333334,377.2488626128584,468.02961705955454,578.0067278403975,488.252153195024,44032.13333333334,9563.466666666667,5045.733333333334,75000.0,11.364263342152164,13.202362868966523,288.0047250623011,280.62463725243623,438.453568893432,236.6982413459027,1430.310968344551,285.38902697728105,91.85983563557734,,25,0.75
0.25_1.0,46793.0,3231.2666666666664,0.9976402971519166,3223.6,192.46990323433116,196.2658618247846,256.16718421805825,214.86916282599066,32598.266666666663,7464.133333333332,3499.3333333333335,75000.0,13.182317798915378,17.439960464620693,172.02021678478684,193.57010640892653,208.04977854321854,134.85949317723924,2649.5079903181354,187.15796064301927,5.3119425913119125,,25,1.0
0.25_1.25,33426.0,2387.066666666667,0.9999716673749823,2387.0,149.90208280138663,149.94828279647174,185.80613679667286,162.70545757455594,22975.0,5757.733333333334,2306.2000000000003,75000.0,15.365395121502102,20.107730965444926,124.82280760715737,154.4725902758308,154.65992859273152,101.43311917067832,2067.7788839558257,150.63567319181934,-0.7335903904327209,,25,1.25
0.25_1.5,23290.666666666668,1635.5999999999997,1.0,1635.5999999999997,137.2283185101774,137.2283185101774,162.69334852027967,145.25834550440243,15883.933333333334,4309.666666666667,1461.4666666666665,75000.0,17.73057455028012,22.958137233100278,97.84024173530283,131.12839122028532,131.12839122028532,80.30376965915902,1425.9792734834862,138.8052783504639,-1.5769598402864993,,25,1.5
0.25_1.75,16084.333333333334,1086.4666666666667,1.0,1086.4666666666667,137.9327991294073,137.9327991294073,157.7700802626465,143.45473618654228,10906.533333333333,3182.4666666666667,908.8666666666667,75000.0,20.210242701334842,25.699794182057087,82.98792679713843,127.31513792664607,127.31513792664607,71.6186429267533,913.3294360225836,139.84644995936162,-1.913650829954283,,25,1.75
0.25_2.0,11124.0,735.1999999999999,1.0,735.1999999999999,132.83631883773367,132.83631883773367,157.42412228318884,139.3528642120934,7470.466666666667,2340.0666666666666,578.2666666666667,75000.0,22.745132808982717,28.491781541351187,95.68525822197402,118.39525999307688,118.39525999307688,69.0559343084292,624.311714306563,135.09519961139574,-2.2588807736620375,,25,2.0
0.25_2.25,7714.333333333333,487.59999999999997,1.0,487.59999999999997,135.57151301537178,135.57151301537178,162.2966676981993,145.584425374201,5171.4,1683.6666666666667,371.6666666666667,75000.0,25.318765890693356,31.401842874128885,76.78385197598116,110.25313795160726,110.25313795160726,62.983816272431135,391.43081858256033,138.17547868083315,-2.6039656654613594,,25,2.25
0.25_2.5,5409.666666666667,313.06666666666666,1.0,313.06666666666666,156.66570438679327,156.66570438679327,179.61368524724548,158.65045455339853,3613.2000000000003,1241.2666666666667,242.13333333333333,75000.0,27.922963899986712,34.327294047059304,92.4149246639908,122.79659221476145,122.79659221476145,66.36945952010726,242.4057510677568,159.58597631225294,-2.9202719254596943,,25,2.5
0.2_0.5,72519.0,2400.266666666667,0.6642490513707663,1593.1333333333332,429.08925416503524,889.4410669544753,1130.21471152856,1012.8733676650204,52810.06666666667,11042.066666666666,6266.600000000001,75000.0,10.233057905857008,9.270005187778484,341.8477018176173,260.9035412406845,679.6082414892368,334.9172527800188,641.553836202714,208.98863153791967,220.10062262711563,,20,0.5
0.2_0.75,61695.333333333336,3634.933333333333,0.9767113129745605,3550.066666666667,306.25088710341697,340.8393712055145,445.01370276895653,372.6475190294207,43645.666666666664,9416.800000000001,4997.933333333333,75000.0,11.364263342152164,14.193817405378311,252.87254972544793,262.2894924677493,341.3723441412125,207.26844531804954,2282.177856916672,264.9881279440046,41.26275915941233,,20,0.75
0.2_1.0,46793.0,3408.2000000000003,0.9997862812760022,3407.4666666666667,170.15447431818808,170.50248797235662,214.54387555773337,183.50556186563264,32479.533333333336,7408.066666666667,3497.1999999999994,75000.0,13.182317798915378,17.627850004995196,148.5373406777978,179.3500346435675,180.86499854834756,118.8232898905347,2985.0651322746676,167.9063280737332,2.2481462444548583,,20,1.0
0.2_1.25,33426.0,2456.266666666667,0.9998367346938776,2455.866666666667,139.08718098969283,139.3528662831228,167.00046196269304,148.1831204953196,22928.0,5737.400000000001,2304.3333333333335,75000.0,15.365395121502102,20.23472267125499,113.35823460001559,148.05220786015605,149.04256159106447,93.95165332228885,2203.840254142631,139.87202544677208,-0.7848444570792547,,20,1.25
0.2_1.5,23290.666666666668,1683.5333333333335,1.0,1683.5333333333335,126.57600907764684,126.57600907764684,147.9562651198431,133.5232788299627,15851.799999999997,4298.866666666666,1456.4666666666665,75000.0,17.73057455028012,23.061572514005206,87.55858291836883,124.27673741518284,124.27673741518284,73.66752376765089,1522.0976965265638,128.29043385371895,-1.714424776072115,,20,1.5
0.2_1.75,16084.333333333334,1114.3333333333333,1.0,1114.3333333333333,122.91585619666682,122.91585619666682,145.29779329107686,132.6328703246804,10886.0,3175.4,908.6,75000.0,20.210242701334842,25.823854924280578,77.45854321007845,115.80017332839407,115.80017332839407,67.00800555335552,976.2968421715487,124.98314308977699,-2.0672868931101487,,20,1.75
0.2_2.0,11124.0,747.9333333333334,1.0,747.9333333333334,123.6067663036344,123.6067663036344,148.51032084082092,131.37386106041538,7458.933333333333,2338.6,578.5333333333333,75000.0,22.745132808982717,28.588277986420717,92.86692912018759,111.24744058537028,111.24744058537028,64.8035619023458,656.120224374675,126.04634317199877,-2.4395768683643744,,20,2.0
0.2_2.25,7714.333333333333,502.0666666666666,1.0,502.0666666666666,132.24204129139198,132.24204129139198,152.94661767589614,137.1144496534165,5162.533333333334,1679.5333333333335,370.2,75000.0,25.318765890693356,31.442779325031427,74.43559446546813,110.99463002568018,110.99463002568018,60.302878294983806,416.5310624043056,135.04252894962954,-2.8004876582375737,,20,2.25
0.2_2.5,5409.666666666667,319.40000000000003,1.0,319.40000000000003,147.81855617402329,147.81855617402329,169.77383601671642,151.92365602112076,3607.7333333333336,1239.0,243.5333333333333,75000.0,27.922963899986712,34.43995599488808,85.87562425948845,120.41651744991327,120.41651744991327,63.82951999713609,259.3707478286138,150.95467685444672,-3.13612068042343,,20,2.5
0.35_0.5,72519.0,1421.1333333333332,0.06778195890435729,96.8,498.0979066801712,1711.0594873743594,1675.3108206325487,1648.7258094412548,53526.53333333333,11215.0,6356.333333333333,75000.0,10.233057905857008,7.729705342476886,178.75791191887097,233.07506345370948,296.6825431436182,194.64814464352943,211.8937476112413,185.37815465548738,312.71975202468377,,35,0.5
0.35_0.75,61695.333333333336,1924.8,0.757905534391146,1457.3333333333333,442.7105445507432,771.4060341332707,973.024082928987,831.9454134816227,44810.06666666667,9846.466666666665,5114.0,75000.0,11.364263342152164,11.044756107496783,357.93999937816193,270.3511427513251,623.0062819020202,320.05325351358897,500.84362384564474,253.34129458202733,189.36924996871585,,35,0.75
0.35_1.0,46793.0,2404.6,0.9872021585594867,2373.7999999999997,287.72742617194484,307.07058399570275,464.3407478331083,374.73060330638356,33137.26666666666,7690.600000000001,3560.5333333333333,75000.0,13.182317798915378,15.920900733765956,271.21469015450214,248.03436609463836,298.8316700570045,205.886538829433,1312.1992290679502,265.7062561064823,22.021170065462638,,35,1.0
0.35_1.25,33426.0,2137.933333333333,0.9993952953799482,2136.6666666666665,190.34197276452267,191.30792202273048,257.872275052828,216.09991649130302,23136.86666666667,5823.133333333334,2328.066666666667,75000.0,15.365395121502102,19.77409403161946,173.1238484628246,184.15254522676892,187.48875934510042,130.35946095754338,1629.154131050537,188.43835862375306,1.9036141407696012,,35,1.25
0.35_1.5,23290.666666666668,1518.9333333333334,1.0,1518.9333333333334,159.19082305567213,159.19082305567213,203.51867971479814,177.45252221263172,15962.733333333335,4341.333333333333,1467.6666666666667,75000.0,17.73057455028012,22.6627658322118,119.86277929474181,148.76438423965357,148.76438423965357,94.74912123500565,1206.2535505570952,160.45183016302454,-1.2610071073523936,,35,1.5
0.35_1.75,16084.333333333334,1020.2666666666665,1.0,1020.2666666666665,158.13686161587415,158.13686161587415,192.0703588088568,169.90046324724014,10956.333333333334,3200.2666666666664,907.4666666666667,75000.0,20.210242701334842,25.520441384899716,107.06348423034827,141.704092446115,141.704092446115,85.20566472057372,793.6674198908553,159.73417423547474,-1.5973126196005618,,35,1.75
0.35_2.0,11124.0,690.5333333333333,1.0,690.5333333333333,150.49115587296865,150.49115587296865,185.34100556626188,160.9460537864247,7499.2,2352.733333333333,581.5333333333333,75000.0,22.745132808982717,28.326693887158537,115.65421613497703,127.72269105006608,127.72269105006608,74.73055503718324,542.8055727687357,152.38602555742477,-1.894869684456131,,35,2.0
0.35_2.25,7714.333333333333,454.6666666666667,1.0,454.6666666666667,152.42741434126978,152.42741434126978,192.28218061248012,167.79089923602908,5195.733333333333,1689.4666666666665,374.4666666666667,75000.0,25.318765890693356,31.1005284300221,101.57587364088322,119.42866921450106,119.42866921450106,73.89696654628288,335.0354191775827,154.62328501474272,-2.1958706734729145,,35,2.25
0.35_2.5,5409.666666666667,285.2,1.0,285.2,165.11168128976655,165.11168128976655,207.95696505107466,183.47057530633415,3628.6,1249.8666666666668,246.0,75000.0,27.922963899986712,34.05996988965841,103.87521618782633,127.76074218734395,127.76074218734395,75.26415631097701,201.67559155560366,167.58542668099952,-2.473745391232988,,35,2.5
0.3_0.5,72519.0,1579.5333333333335,0.23592738559226692,373.8666666666666,476.76083481192654,1487.5037701280073,1558.582948293514,1501.568331500447,53435.93333333333,11175.066666666666,6328.466666666667,75000.0,10.233057905857008,7.947797786397172,238.19200337623715,249.12487559977987,563.9568119966029,257.6640940822923,262.47842051589345,188.85264672046847,287.90818809145816,,30,0.5
0.3_0.75,61695.333333333336,2496.0,0.854109128226697,2131.6666666666665,423.8703877336577,624.6371245127885,743.3950023891229,633.4334425427786,44414.06666666667,9703.066666666666,5082.2,75000.0,11.364263342152164,12.140786120319333,323.43220340217226,276.81310008897606,547.8871158150837,274.26557550496995,864.3812974351854,270.33834621336484,153.53204152029284,,30,0.75
0.3_1.0,46793.0,2944.066666666667,0.9955178266918255,2930.866666666667,226.01871350421257,233.06103090379202,323.6286537943877,267.04175323178345,32791.200000000004,7540.600000000001,3517.133333333333,75000.0,13.182317798915378,16.99236869243441,206.76837511418498,215.19701786163992,238.56233222095432,161.08139458760363,2128.9475694998746,216.7114261431856,9.307287361026981,,30,1.0
0.3_1.25,33426.0,2284.0666666666666,0.999821587867975,2283.666666666667,164.50620258308757,164.79434416061466,216.02326146024174,184.15644652858404,23044.0,5782.466666666667,2315.4666666666667,75000.0,15.365395121502102,19.986955465278353,152.79238218138025,164.69232728151937,165.7731410563109,115.16289326513709,1884.4645454185563,164.67450623984294,-0.1683036567553586,,30,1.25
0.3_1.5,23290.666666666668,1586.1333333333332,1.0,1586.1333333333332,152.01814332494874,152.01814332494874,180.04558430702005,159.28226259340468,15918.266666666668,4323.533333333333,1462.7333333333336,75000.0,17.73057455028012,22.787944595023344,106.10736906932618,142.34955529285492,142.34955529285492,86.0785896077773,1314.2244916826014,153.45908389627974,-1.4409405713309942,,30,1.5
0.3_1.75,16084.333333333334,1058.7333333333333,1.0,1058.7333333333333,144.1237075296141,144.1237075296141,172.42125935969105,155.2332242413129,10928.800000000001,3192.0,904.8000000000001,75000.0,20.210242701334842,25.596392132230807,92.9756591346851,129.87147097078375,129.87147097078375,78.43419111404141,860.7233318041294,145.8773164180989,-1.7536088884847876,,30,1.75
0.3_2.0,11124.0,712.3333333333334,1.0,712.3333333333334,144.65030294636935,144.65030294636935,171.59439547614411,148.8793662592628,7483.933333333333,2346.2000000000003,581.5333333333333,75000.0,22.745132808982717,28.40382249582308,115.62917091293014,125.41161418228455,125.41161418228455,71.38585738124154,585.6150835870427,146.7247484431073,-2.074445496737937,,30,2.0
0.3_2.25,7714.333333333333,472.3333333333333,1.0,472.3333333333333,144.29352611630506,144.29352611630506,175.21516630202848,155.15238580307994,5181.6,1688.7333333333333,371.6666666666667,75000.0,25.318765890693356,31.215373892326586,88.00854750282876,116.46355016856255,116.46355016856255,67.18429695864903,363.03513089154666,146.69050504860013,-2.396978932295075,,30,2.25
0.3_2.5,5409.666666666667,299.1333333333334,1.0,299.1333333333334,165.29514738507675,165.29514738507675,192.17319307256454,170.54326918125153,3622.0,1243.0,245.53333333333333,75000.0,27.922963899986712,34.2786219102342,92.05133734734842,129.1600774884669,129.1600774884669,68.94998145069678,224.95532481204103,167.99340053180003,-2.698253146723289,,30,2.5
0.45_0.5,72519.0,1339.1333333333334,0.008477709698294736,11.466666666666667,508.8241778247592,1789.0526080617065,1735.0063442685816,1718.5779815488697,53545.93333333333,11259.533333333333,6374.400000000001,75000.0,10.233057905857008,7.623865224120164,147.63059725987424,245.74939342925407,61.53025840610626,163.41291691040962,190.33012724568778,191.07069346077049,317.7534843639887,,45,0.5
0.45_0.75,61695.333333333336,1018.4666666666668,0.3157859985915804,320.1333333333334,505.8158060755979,1391.194495925504,1529.1379738043186,1443.4692707010443,45501.86666666667,9995.4,5179.599999999999,75000.0,11.364263342152164,9.159746029107582,267.5451822612746,263.0038427789245,613.2931082911264,289.4424222181041,133.53250687859335,229.26833256042997,276.5474735151679,,45,0.75
0.45_1.0,46793.0,1265.6666666666667,0.822839771831913,1041.7333333333333,480.2585338270985,714.0460440000338,919.3638347911146,772.4526846240275,33909.73333333333,7981.0,3636.6,75000.0,13.182317798915378,12.874945329308247,347.6531692113301,290.4362033108742,563.3130320505992,301.1054954077446,284.0082887424075,314.5241717829875,165.734362044111,,45,1.0
0.45_1.25,33426.0,1420.6000000000001,0.983595628305923,1397.4666666666665,340.22136359251834,363.71215425599195,510.4499289547463,409.6086287421624,23615.0,6025.133333333334,2365.266666666667,75000.0,15.365395121502102,17.884471666408004,277.88801703789983,265.95795395843567,317.25266097220737,206.87955181797585,641.8245073504891,306.519942606254,33.70142098626431,,45,1.25
0.45_1.5,23290.666666666668,1259.4666666666665,0.9994297933146944,1258.7333333333333,221.95308589009392,222.83124487545885,313.1878219987214,255.5242196554902,16137.199999999999,4423.400000000001,1470.6000000000001,75000.0,17.73057455028012,21.961038053516162,192.33767417396223,194.61591094802046,197.41405166227472,135.62377397786284,810.6997801891242,219.8488539713843,2.1042319187096363,,45,1.5
0.45_1.75,16084.333333333334,872.7999999999998,0.9998445049500013,872.6666666666666,206.98364690230468,207.22886078385307,278.78400799681646,226.35526483281083,11052.066666666666,3242.933333333333,916.5333333333334,75000.0,20.210242701334842,24.804672401002474,194.56972953179437,176.00915345286475,176.92015809335723,119.7649858984907,563.6251315537128,207.16862206302312,-0.18497516071843165,,45,1.75
0.45_2.0,11124.0,614.2666666666667,1.0,614.2666666666667,186.66408012615412,186.66408012615412,238.19934440068513,200.8829048836767,7547.8,2378.6,583.3333333333334,75000.0,22.745132808982717,27.929877116534666,149.66484690731107,157.30379491717707,157.30379491717707,92.58010690534702,422.46447187466794,187.53992649600127,-0.8758463698471189,,45,2.0
0.45_2.25,7714.333333333333,398.0,1.0,398.0,194.76699599882224,194.76699599882224,250.169211506489,205.79101398255,5231.466666666666,1709.0666666666668,375.8,75000.0,25.318765890693356,30.56098445985124,158.1220087449913,149.61075913623782,149.61075913623782,90.11235433921543,246.78793324497954,196.55689533964832,-1.7898993408261221,,45,2.25
0.45_2.5,5409.666666666667,246.0666666666667,1.0,246.0666666666667,193.05474551189278,193.05474551189278,261.98071496458994,220.91740768948887,3657.1999999999994,1257.5333333333333,248.86666666666667,75000.0,27.922963899986712,33.50537393797071,134.81950048919984,141.24209304076507,141.24209304076507,87.70973292210745,145.67202489059943,195.08145733853345,-2.0267118266406325,,45,2.5
0.4_0.5,72519.0,1359.8666666666666,0.005807705914010492,7.933333333333334,507.9286858974359,1792.4736314091278,1722.0239073797666,1705.1383598864431,53611.53333333333,11217.333333333334,6330.266666666666,75000.0,10.233057905857008,7.66452769889625,154.00439819605796,233.1458710565205,44.20215626430911,167.96458772363934,194.7268621064228,187.16326602564095,320.76541987179496,,40,0.5
0.4_0.75,61695.333333333336,1451.3999999999999,0.5634996764417829,818.1999999999999,467.79239913073025,1049.3118462079544,1221.8593737452563,1093.9968040098227,45136.93333333333,9943.866666666667,5163.133333333334,75000.0,11.364263342152164,9.85647826049238,338.7889537631963,260.35867982763835,682.010435522364,334.9644423656269,269.0504515433891,229.05549783166282,238.73690129906743,,40,0.75
0.4_1.0,46793.0,1788.0,0.9311178439518821,1664.3999999999999,426.56381149666913,520.6337827775706,670.0086840833037,553.4545347369416,33551.799999999996,7857.533333333333,3595.6666666666665,75000.0,13.182317798915378,14.315551065851018,314.93338812160505,292.3483679318365,442.991496634316,248.97315285004774,608.6202952394482,327.3435013231135,99.22031017355562,,40,1.0
0.4_1.25,33426.0,1875.2,0.9981712897037843,1871.8,229.19189000571177,232.05737479997606,342.0722462179492,275.5712215973774,23313.600000000002,5886.0,2351.2000000000003,75000.0,15.365395121502102,19.251233609749544,225.0983260515446,212.1238260987524,221.76948524664013,160.938336257161,1235.9308224138888,223.12338507615962,6.068504929552165,,40,1.25
0.4_1.5,23290.666666666668,1416.2,1.0,1416.2,181.03956556666313,181.03956556666313,243.37236946159484,206.23011592591783,16032.0,4374.133333333334,1468.3333333333333,75000.0,17.73057455028012,22.34123526024176,149.71858323085712,164.59352844976294,164.59352844976294,111.2866423864698,1030.8115253051571,181.68413924080957,-0.6445736741464183,,40,1.5
0.4_1.75,16084.333333333334,956.9333333333334,1.0,956.9333333333334,180.42309439875842,180.42309439875842,227.09609767822164,192.89388498944376,10992.133333333331,3219.866666666667,915.4,75000.0,20.210242701334842,25.154184794102818,151.0220600071555,156.4412237608461,156.4412237608461,99.52312475584041,686.0493298132428,181.806363418258,-1.3832690194995623,,40,1.75
