request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state,time occ 1,time occ 2;;;;;;;;
18,UserDecisionRequest,1,1500,1500,2989;-1;-1,2977;-1;-1,,,,,200.30021679086173,2168.7248732571807,0:t_wait:37.51804354900537;t_drive:230.30021679086167;fare:216|1:t_wait:270.7937224514517;t_drive:260.3002167908619;fare:216,,,0,1,1537.5180435490054,1797.8182603398668,216,0,103.33306064097519,186.96715614988625
19,UserDecisionRequest,1,1500,1500,2989;-1;-1,2975;-1;-1,,,,,126.96715614988648,1557.6160345823869,0:t_wait:37.51804354900537;t_drive:156.96715614988648;fare:155|1:t_wait:270.7937224514517;t_drive:186.9671561498867;fare:155,,,0,1,1537.5180435490054,1694.4851996988916,155,0,,186.96715614988625
20,UserDecisionRequest,1,1560,1560,2981;-1;-1,2979;-1;-1,,,,,36.17924043220354,176.13052741122,0:t_wait:0;t_drive:66.17924043220364;fare:100|1:t_wait:0;t_drive:66.17924043220364;fare:100,,,0,5,1560.0,1626.179240432204,100,0,96.1792404322041,
21,UserDecisionRequest,1,1620,1620,2978;-1;-1,2979;-1;-1,,,,,37.42546113022892,311.87884275190765,0:t_wait:87.49974398240533;t_drive:67.425461130229;fare:100|1:t_wait:79.08939415911755;t_drive:67.425461130229;fare:100,,,1,7,1699.089394159117,1766.5148552893463,100,0,97.42546113022922,
22,UserDecisionRequest,1,1620,1620,2985;-1;-1,2982;-1;-1,,,,,129.65668328940987,1095.119308716388,0:t_wait:134.86890125201535;t_drive:159.65668328940978;fare:109|1:t_wait:223.41854752939412;t_drive:159.65668328940978;fare:109,,,0,4,1754.8689012520151,1914.525584541425,109,0,189.65668328940978,
23,UserDecisionRequest,1,1680,1680,2967;-1;-1,299;-1;-1,,,,,137.56405431369114,1532.7491772517287,0:t_wait:91.2954359457433;t_drive:167.56405431369126;fare:153|1:t_wait:72.87952592442389;t_drive:167.56405431369103;fare:153,,,1,9,1752.8795259244243,1920.443580238116,153,0,197.5640543136917,
24,UserDecisionRequest,1,1680,1680,2969;-1;-1,2977;-1;-1,,,,,256.6568068488345,2203.346162362212,0:t_wait:0;t_drive:286.65680684883455;fare:220|1:t_wait:160.81119740725194;t_drive:385.49864684883437;fare:220,,,0,3,1836.351864,2208.195045705977,220,0,109.67189809945512,292.1712836065219
25,UserDecisionRequest,1,1680,1680,2990;-1;-1,2982;-1;-1,,,,,224.7451087756582,1872.8759064638184,0:t_wait:79.63238283086298;t_drive:338.890764775658;fare:187|1:t_wait:240.44358023811492;t_drive:254.74510877565808;fare:187,,,0,3,1759.6323828308628,2098.523147606522,187,0,76.71948116913723,292.1712836065219
26,UserDecisionRequest,1,2040,2040,2991;-1;-1,2993;-1;-1,,,,,56.75290494872581,788.2347909545251,0:t_wait:175.7305866341717;t_drive:86.7529049487257;fare:100|1:t_wait:46.3626871904562;t_drive:86.7529049487257;fare:100,,,1,9,2135.135391190456,2221.8882961391823,100,0,,116.75290494872615
27,UserDecisionRequest,1,2040,2040,2969;-1;-1,2993;-1;-1,,,,,75.16881497004519,1044.011319028405,0:t_wait:176.08738061285248;t_drive:105.16881497004533;fare:104|1:t_wait:46.719481169137;t_drive:135.16881497004488;fare:104,,,1,9,2086.7194811691365,2221.8882961391823,104,0,48.41591002131963,116.75290494872615
28,UserDecisionRequest,1,2100,2100,2973;-1;-1,2981;-1;-1,,,,,178.24268845651838,1853.859111085784,0:t_wait:166.9536687924483;t_drive:208.2426884565184;fare:185|1:t_wait:34.44352830090247;t_drive:208.2426884565184;fare:185,,,1,8,2134.4435283009025,2342.6862167574222,185,0,238.24268845651977,
29,UserDecisionRequest,1,2160,2160,2981;-1;-1,2976;-1;-1,,,,,135.07555748348486,1148.616045695707,0:t_wait:31.55259956779628;t_drive:165.07555748348477;fare:114|1:t_wait:31.55259956779628;t_drive:165.07555748348477;fare:114,,,0,2,2191.5525995677963,2356.628157051281,114,0,195.07555748348477,
30,UserDecisionRequest,1,2280,2280,2986;-1;-1,2984;-1;-1,,,,,83.35824565445503,777.242669599201,0:t_wait:111.94455948550967;t_drive:113.358245654455;fare:100|1:t_wait:111.94455948550967;t_drive:113.358245654455;fare:100,,,1,1,2391.9445594855088,2505.3028051399638,100,0,143.358245654455,
31,UserDecisionRequest,1,2340,2340,2989;-1;-1,2978;-1;-1,,,,,246.70419219894583,2555.4246683245487,0:t_wait:206.76536720913828;t_drive:276.70419219894575;fare:255|1:t_wait:193.31525508792765;t_drive:276.70419219894575;fare:255,,,1,9,2533.315255087928,2810.0194472868748,255,0,306.70419219894666,
32,UserDecisionRequest,1,2400,2400,2981;-1;-1,2969;-1;-1,,,,,173.93680390219876,2279.3367272297323,0:t_wait:31.55259956779628;t_drive:203.9368039021988;fare:227|1:t_wait:0;t_drive:203.9368039021988;fare:227,,,1,8,2400.0,2603.936803902199,227,0,233.9368039021988,
33,UserDecisionRequest,1,2460,2460,2992;-1;-1,2986;-1;-1,,,,,282.5871709173432,3048.067151629767,0:t_wait:211.5927840298532;t_drive:312.587170917343;fare:304|1:t_wait:228.21491131919993;t_drive:312.5871709173434;fare:304,,,0,5,2671.592784029854,2984.179954947197,304,0,342.587170917343,
34,UserDecisionRequest,1,2520,2520,2990;-1;-1,297;-1;-1,,,,,11.053039959097989,92.10866632581656,0:t_wait:219.98631724957704;t_drive:41.05303995909799;fare:100|1:t_wait:193.56918673306154;t_drive:41.05303995909799;fare:100,,,1,8,2713.569186733062,2754.6222266921604,100,0,,71.05303995909844
35,UserDecisionRequest,1,2580,2580,2990;-1;-1,2988;-1;-1,,,,,136.17123910667578,1181.7688504120974,0:t_wait:201.62318455634977;t_drive:166.17123910667578;fare:118|1:t_wait:133.569186733062;t_drive:196.17123910667578;fare:118,,,1,8,2713.569186733062,2939.740425839739,118,0,,256.17123910667715
36,UserDecisionRequest,1,2700,2700,2972;-1;-1,2985;-1;-1,,,,,147.11132383387394,1272.6774024545982,0:t_wait:166.20078449443827;t_drive:177.11132383387394;fare:127|1:t_wait:193.07614324257884;t_drive:212.75813983387388;fare:127,,,0,1,2866.2007844944387,3043.312108328312,127,0,207.11132383387348,
37,UserDecisionRequest,1,2760,2760,2970;-1;-1,2972;-1;-1,,,,,108.45391655041928,956.9275289670156,0:t_wait:220.13471720867483;t_drive:138.4539165504193;fare:100|1:t_wait:24.62222669216044;t_drive:188.10226397899078;fare:100,,,1,8,2784.6222266921604,2972.724490671152,100,0,32.98406483141298,185.1181991475787
38,UserDecisionRequest,1,2880,2880,2993;-1;-1,2972;-1;-1,,,,,192.06001237033516,2183.785505143543,0:t_wait:280.34763418232797;t_drive:222.06001237033524;fare:218|1:t_wait:232.4834915828974;t_drive:222.06001237033524;fare:218,,,1,7,3112.4834915828983,3334.543503953233,218,0,252.0600123703348,
39,UserDecisionRequest,1,2880,2880,2992;-1;-1,2982;-1;-1,,,,,275.1492641895202,3428.366932329032,0:t_wait:259.45692662928377;t_drive:305.1492641895202;fare:342|1:t_wait:293.46280274777246;t_drive:305.1492641895202;fare:342,,,0,0,3139.456926629284,3539.7678022473774,342,0,149.9320800374635,280.3787955806297
40,UserDecisionRequest,1,2940,2940,2990;-1;-1,2981;-1;-1,,,,,207.20330926693825,2611.7286438911515,0:t_wait:219.98631724957704;t_drive:237.20330926693805;fare:261|1:t_wait:179.25772616163476;t_drive:237.20330926693805;fare:261,,,1,8,3119.257726161636,3356.461035428575,261,0,267.20330926693896,
41,UserDecisionRequest,1,3000,3000,2977;-1;-1,2982;-1;-1,,,,,83.40450190054383,577.1723729807225,0:t_wait:0;t_drive:113.40450190054389;fare:100|1:t_wait:0;t_drive:113.40450190054389;fare:100,,,0,3,3000.0,3113.404501900545,100,0,143.4045019005448,
42,UserDecisionRequest,1,3060,3060,2986;-1;-1,297;-1;-1,,,,,208.5752713127597,2037.389540561264,0:t_wait:0;t_drive:238.57527131275947;fare:203|1:t_wait:83.98106075305805;t_drive:238.57527131275947;fare:203,,,0,5,3060.0,3298.5752713127613,203,0,268.5752713127613,
43,UserDecisionRequest,1,3060,3060,2973;-1;-1,2978;-1;-1,,,,,189.79905861563583,1927.1757957450964,0:t_wait:89.03025565248299;t_drive:219.79905861563566;fare:192|1:t_wait:138.99017005999667;t_drive:219.79905861563566;fare:192,,,0,1,3149.0302556524834,3368.82931426812,192,0,249.79905861563657,
44,UserDecisionRequest,1,3060,3060,2967;-1;-1,2981;-1;-1,,,,,220.37879558062932,2961.6368211428808,0:t_wait:146.4742551580257;t_drive:250.37879558062923;fare:296|1:t_wait:271.50626293588584;t_drive:250.37879558062923;fare:296,,,0,0,3206.474255158027,3456.8530507386567,296,0,,280.3787955806297
45,UserDecisionRequest,1,3300,3300,2982;-1;-1,2971;-1;-1,,,,,289.8986440772667,2915.378433977222,0:t_wait:0;t_drive:319.8986440772669;fare:291|1:t_wait:0;t_drive:319.8986440772669;fare:291,,,1,3,3300.0,3619.898644077267,291,0,349.8986440772669,
46,UserDecisionRequest,1,3360,3360,2976;-1;-1,2987;-1;-1,,,,,125.94386434095271,1410.1941526762305,0:t_wait:0;t_drive:155.9438643409526;fare:141|1:t_wait:0;t_drive:155.9438643409526;fare:141,,,0,2,3360.0,3515.9438643409526,141,0,185.9438643409526,
47,UserDecisionRequest,1,3420,3420,2971;-1;-1,2985;-1;-1,,,,,186.57127949046637,1654.6552573063896,0:t_wait:68.99396089382708;t_drive:216.57127949046617;fare:165|1:t_wait:89.28571634340778;t_drive:216.57127949046617;fare:165,,,0,5,3488.9939608938275,3705.5652403842937,165,0,246.57127949046617,
48,UserDecisionRequest,1,3600,3600,2967;-1;-1,2982;-1;-1,,,,,273.2935470893493,3402.5930837155474,0:t_wait:236.71536202350444;t_drive:303.29354708934943;fare:340|1:t_wait:207.75564060536317;t_drive:303.29354708934943;fare:340,,,1,7,3807.755640605365,4111.0491876947135,340,0,333.2935470893485,
49,UserDecisionRequest,1,3600,3600,2983;-1;-1,2977;-1;-1,,,,,14.744653285862691,122.87211071552242,0:t_wait:47.505301956450694;t_drive:44.74465328586257;fare:100|1:t_wait:47.505301956450694;t_drive:44.74465328586257;fare:100,,,0,0,3647.50530195645,3692.249955242313,100,0,74.74465328586302,
50,UserDecisionRequest,1,3720,3720,2974;-1;-1,297;-1;-1,,,,,215.12566102862468,2128.3671755038336,0:t_wait:53.29763497137583;t_drive:245.12566102862456;fare:212|1:t_wait:50.704534696240444;t_drive:245.12566102862456;fare:212,,,1,2,3770.704534696241,4019.481212867725,212,0,207.7236382123856,71.05303995909844
51,UserDecisionRequest,1,3840,3840,2966;-1;-1,2988;-1;-1,,,,,278.9138289902777,2634.7327710788463,0:t_wait:280.0016795881147;t_drive:308.9138289902776;fare:263|1:t_wait:229.98696027803135;t_drive:308.9138289902771;fare:263,,,1,8,4069.9869602780304,4394.899257839737,263,0,292.24954639311954,62.66275116858742
52,UserDecisionRequest,1,3840,3840,2969;-1;-1,2992;-1;-1,,,,,54.27810741700095,753.8626030139021,0:t_wait:123.78776031621192;t_drive:84.27810741700114;fare:100|1:t_wait:123.78776031621192;t_drive:84.27810741700114;fare:100,,,0,3,3963.787760316213,4048.065867733214,100,0,114.27810741700114,
53,UserDecisionRequest,1,3840,3840,2990;-1;-1,2981;-1;-1,,,,,207.20330926693825,2611.7286438911515,0:t_wait:191.88228651375175;t_drive:237.20330926693805;fare:261|1:t_wait:138.42817290862513;t_drive:281.3047492669384;fare:261,,,1,2,3978.4281729086265,4259.732922175568,261,0,240.25170930784316,71.05303995909844
54,UserDecisionRequest,1,4260,4260,2977;-1;-1,2992;-1;-1,,,,,290.6899485681664,2881.77744065169,0:t_wait:0;t_drive:320.6899485681661;fare:288|1:t_wait:0;t_drive:320.6899485681661;fare:288,,,0,0,4260.0,4580.689948568164,288,0,350.68994856816425,
55,UserDecisionRequest,1,4320,4320,2972;-1;-1,2991;-1;-1,,,,,134.87611468093908,1408.0867039019315,0:t_wait:121.29189445184056;t_drive:164.87611468093928;fare:140|1:t_wait:42.23650667115089;t_drive:194.87611468093928;fare:140,,,1,8,4362.23650667115,4557.112621352087,140,0,162.21336351235004,62.66275116858742
56,UserDecisionRequest,1,4320,4320,2979;-1;-1,2975;-1;-1,,,,,151.75974624928307,1224.9515235059305,0:t_wait:36.17924043220319;t_drive:181.75974624928313;fare:122|1:t_wait:36.17924043220319;t_drive:181.75974624928313;fare:122,,,1,2,4356.179240432202,4537.938986681488,122,0,211.75974624928585,
57,UserDecisionRequest,1,4380,4380,2983;-1;-1,2966;-1;-1,,,,,323.34893081286066,2424.298656565677,0:t_wait:47.50530195645024;t_drive:353.348930812861;fare:242|1:t_wait:47.50530195645024;t_drive:353.348930812861;fare:242,,,0,4,4427.505301956449,4780.854232769311,242,0,383.3489308128619,
58,UserDecisionRequest,1,4440,4440,2981;-1;-1,2971;-1;-1,,,,,283.9604755859867,2389.323696549889,0:t_wait:68.97806069802573;t_drive:313.9604755859864;fare:238|1:t_wait:68.97806069802573;t_drive:313.9604755859864;fare:238,,,1,1,4508.978060698024,4822.938536284012,238,0,343.9604755859882,
59,UserDecisionRequest,1,4440,4440,2990;-1;-1,2981;-1;-1,,,,,207.20330926693825,2611.7286438911515,0:t_wait:139.41977141386178;t_drive:237.20330926693805;fare:261|1:t_wait:139.41977141386178;t_drive:237.20330926693805;fare:261,,,1,3,4579.419771413864,4816.623080680803,261,0,267.20330926693896,
60,UserDecisionRequest,1,4560,4560,2973;-1;-1,2969;-1;-1,,,,,172.5497643587172,1931.331838315517,0:t_wait:75.7181473241717;t_drive:202.54976435871686;fare:193|1:t_wait:113.99515611491188;t_drive:202.54976435871686;fare:193,,,0,5,4635.71814732417,4898.251015682886,193,0,109.4609464166906,183.07192194202526
61,UserDecisionRequest,1,4620,4620,2979;-1;-1,2983;-1;-1,,,,,95.53311017582423,796.109251465202,0:t_wait:154.62787174228743;t_drive:125.53311017582382;fare:100|1:t_wait:37.42546113022854;t_drive:125.53311017582382;fare:100,,,1,9,4657.425461130228,4782.958571306049,100,0,155.5331101758211,
62,UserDecisionRequest,1,4620,4620,2991;-1;-1,2987;-1;-1,,,,,221.9190199009194,2598.4939430683253,0:t_wait:61.393890604318585;t_drive:251.919019900919;fare:259|1:t_wait:0;t_drive:251.919019900919;fare:259,,,1,8,4620.0,4871.919019900917,259,0,281.9190199009172,
63,UserDecisionRequest,1,4680,4680,2989;-1;-1,2967;-1;-1,,,,,195.59465388777056,1983.093162522356,0:t_wait:65.17909374086048;t_drive:274.3673578877706;fare:198|1:t_wait:145.86786785011373;t_drive:225.59465388777062;fare:198,,,0,5,4745.1790937408605,5019.546451628626,198,0,121.29543594573988,183.07192194202526
64,UserDecisionRequest,1,4860,4860,2966;-1;-1,2992;-1;-1,,,,,131.62933504116845,1285.4828948015352,0:t_wait:0;t_drive:161.62933504116882;fare:128|1:t_wait:158.42488667311773;t_drive:161.62933504116882;fare:128,,,0,4,4860.0,5021.629335041171,128,0,191.62933504117063,
65,UserDecisionRequest,1,4920,4920,2980;-1;-1,2972;-1;-1,,,,,344.7104419812344,2999.8842262698045,0:t_wait:0;t_drive:374.710441981234;fare:299|1:t_wait:100.56894011848726;t_drive:374.710441981234;fare:299,,,0,6,4920.0,5294.710441981238,299,0,404.71044198123764,
66,UserDecisionRequest,1,4920,4920,2979;-1;-1,2993;-1;-1,,,,,232.4834915828976,3080.537518846917,0:t_wait:36.17924043220319;t_drive:262.48349158289784;fare:308|1:t_wait:36.17924043220319;t_drive:262.48349158289784;fare:308,,,0,3,4956.179240432202,5218.662732015098,308,0,292.483491582896,
67,UserDecisionRequest,1,4980,4980,2987;-1;-1,2984;-1;-1,,,,,127.4257940665604,1389.2919531006646,0:t_wait:93.00986371437921;t_drive:157.42579406656023;fare:138|1:t_wait:0;t_drive:157.42579406656023;fare:138,,,1,8,4980.0,5137.425794066561,138,0,187.42579406656114,
68,UserDecisionRequest,1,4980,4980,2986;-1;-1,2992;-1;-1,,,,,225.37832508265683,2665.0618483702337,0:t_wait:51.04706012648512;t_drive:255.37832508265728;fare:266|1:t_wait:253.043722126391;t_drive:255.37832508265637;fare:266,,,0,2,5031.047060126485,5286.425385209137,266,0,285.3783250826518,
69,UserDecisionRequest,1,5100,5100,2968;-1;-1,2981;-1;-1,,,,,194.0847656227756,2596.441960617133,0:t_wait:26.294029957854036;t_drive:224.0847656227752;fare:259|1:t_wait:28.14974705802433;t_drive:224.0847656227752;fare:259,,,0,5,5126.294029957855,5350.378795580632,259,0,254.084765622777,
70,UserDecisionRequest,1,5160,5160,2989;-1;-1,2977;-1;-1,,,,,200.30021679086173,2168.7248732571807,0:t_wait:48.59984980275658;t_drive:230.30021679086167;fare:216|1:t_wait:48.59984980275658;t_drive:230.30021679086167;fare:216,,,0,1,5208.599849802757,5438.900066593619,216,0,260.3002167908626,
71,UserDecisionRequest,1,5220,5220,2985;-1;-1,2967;-1;-1,,,,,251.8823202000605,2621.804225000841,0:t_wait:251.82176581510976;t_drive:281.88232020006035;fare:262|1:t_wait:44.908890042597704;t_drive:281.88232020006035;fare:262,,,1,8,5264.908890042598,5546.79121024266,262,0,311.88232020006217,
72,UserDecisionRequest,1,5400,5400,2967;-1;-1,2981;-1;-1,,,,,220.37879558062932,2961.6368211428808,0:t_wait:5.864769547126343;t_drive:250.37879558062923;fare:296|1:t_wait:5.864769547126343;t_drive:250.37879558062923;fare:296,,,1,3,5405.864769547126,5656.243565127757,296,0,280.37879558063105,
73,UserDecisionRequest,1,5400,5400,2978;-1;-1,2969;-1;-1,,,,,213.5128417430813,2609.13704257042,0:t_wait:79.08939415911755;t_drive:243.51284174308148;fare:260|1:t_wait:17.994410650397185;t_drive:243.51284174308148;fare:260,,,1,7,5417.994410650397,5661.507252393478,260,0,273.51284174308057,
74,UserDecisionRequest,1,5460,5460,2969;-1;-1,2979;-1;-1,,,,,215.43577253000475,2566.624800181488,0:t_wait:59.78738858299948;t_drive:245.43577253000512;fare:256|1:t_wait:33.79644102995553;t_drive:275.4357725300042;fare:256,,,0,0,5519.787388583,5765.223161113004,256,0,275.4357725300033,
75,UserDecisionRequest,1,5460,5460,2984;-1;-1,2986;-1;-1,,,,,65.61792805983069,674.351330400799,0:t_wait:55.226698019298055;t_drive:95.61792805983077;fare:100|1:t_wait:32.84968471154116;t_drive:95.61792805983077;fare:100,,,1,9,5492.849684711543,5588.467612771374,100,0,95.61792805983077,30.0
76,UserDecisionRequest,1,5460,5460,2984;-1;-1,2992;-1;-1,,,,,244.36331714248752,2495.7221787710323,0:t_wait:55.226698019298055;t_drive:274.3633171424872;fare:249|1:t_wait:32.84968471154116;t_drive:350.99625314248715;fare:249,,,0,1,5515.226698019299,5789.590015161783,249,0,304.36331714248445,
77,UserDecisionRequest,1,5520,5520,2986;-1;-1,2971;-1;-1,,,,,143.9257293494437,1571.4022146764878,0:t_wait:112.4872304225355;t_drive:173.92572934944383;fare:157|1:t_wait:68.46761277137375;t_drive:173.92572934944383;fare:157,,,1,9,5588.467612771374,5762.393342120814,157,0,143.9257293494402,60.0
78,UserDecisionRequest,1,5520,5520,2970;-1;-1,298;-1;-1,,,,,190.4137294263278,2063.6293026972103,0:t_wait:106.77085137296035;t_drive:220.41372942632825;fare:206|1:t_wait:106.77085137296035;t_drive:220.41372942632825;fare:206,,,0,2,5626.770851372961,5847.18458079929,206,0,250.41372942632916,
79,UserDecisionRequest,1,5520,5520,2978;-1;-1,2975;-1;-1,,,,,159.65721537951197,1267.777366257838,0:t_wait:79.08939415911755;t_drive:189.6572153795123;fare:126|1:t_wait:245.33295928687403;t_drive:189.6572153795123;fare:126,,,0,5,5599.089394159119,5820.749649538631,126,0,122.18537601759363,129.47487936191828
80,UserDecisionRequest,1,5520,5520,2978;-1;-1,2993;-1;-1,,,,,269.9089527131265,3392.416361598825,0:t_wait:207.96007491653836;t_drive:299.9089527131264;fare:339|1:t_wait:245.33295928687403;t_drive:299.9089527131264;fare:339,,,0,6,5789.963114916538,6089.872067629662,339,0,329.90895271312365,
81,UserDecisionRequest,1,5580,5580,2984;-1;-1,2969;-1;-1,,,,,208.85791372548653,2002.5915757571304,0:t_wait:141.2747701767139;t_drive:326.5665651540585;fare:200|1:t_wait:239.51330330446854;t_drive:238.85791372548647;fare:200,,,0,5,5721.274770176713,6047.841335330772,200,0,227.0916857921411,129.47487936191828
82,UserDecisionRequest,1,5580,5580,2966;-1;-1,297;-1;-1,,,,,180.9694378426999,1660.3445869925658,0:t_wait:158.42488667311773;t_drive:210.96943784270024;fare:166|1:t_wait:154.03520157294588;t_drive:210.96943784270024;fare:166,,,1,8,5734.035201572945,5945.004639415647,166,0,240.96943784270206,
83,UserDecisionRequest,1,5580,5580,2975;-1;-1,2976;-1;-1,,,,,43.17503937342681,359.7919947785567,0:t_wait:28.223038867478863;t_drive:73.17503937342644;fare:100|1:t_wait:255.8527346663859;t_drive:73.17503937342644;fare:100,,,0,6,5608.223038867479,5681.398078240906,100,0,103.17503937342735,
84,UserDecisionRequest,1,5700,5700,2974;-1;-1,2987;-1;-1,,,,,48.51319330375963,673.7943514411061,0:t_wait:162.7755748063919;t_drive:78.51319330375918;fare:100|1:t_wait:162.7755748063919;t_drive:78.51319330375918;fare:100,,,1,3,5862.775574806394,5941.288768110154,100,0,108.51319330376009,
85,UserDecisionRequest,1,5700,5700,2971;-1;-1,2978;-1;-1,,,,,247.4200305731308,2561.389988109423,0:t_wait:175.76481226678698;t_drive:277.42003057313104;fare:256|1:t_wait:62.39334212081667;t_drive:277.42003057313104;fare:256,,,1,9,5762.393342120814,6039.813372693945,256,0,277.42003057313104,30.0
