id,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes
44,True,1,1807,2269.74,0,0,0,"[['WALK', 1807, 2269]]"
45,True,1,2015,2476.14,0,0,0,"[['WALK', 2015, 2476]]"
46,True,1,2399,2953.32,0,0,0,"[['WALK', 2399, 2953]]"
47,True,1,2053,2536.62,0,0,0,"[['WALK', 2053, 2536]]"
48,True,1,2998,3628.6,0,0,0,"[['WALK', 2998, 3628]]"
49,True,1,2104,2573.36,0,0,0,"[['WALK', 2104, 2573]]"
50,True,3,1471,1500.34,0,180,0,"[['WALK', 922, 1089], ['RAIL', 180, 1852], ['WALK', 369, 410]]"
51,True,1,2166,2650.61,0,0,0,"[['WALK', 2166, 2650]]"
52,True,1,1526,1881.24,0,0,0,"[['WALK', 1526, 1881]]"
53,True,3,2333,2605.77,0,180,0,"[['WALK', 1223, 1491], ['RAIL', 180, 1852], ['WALK', 930, 1114]]"
54,True,3,2140,2136.15,0,180,0,"[['WALK', 1035, 1176], ['RAIL', 180, 1852], ['WALK', 925, 959]]"
55,True,1,2512,3038.96,0,0,0,"[['WALK', 2512, 3038]]"
56,True,1,1076,1313.51,0,0,0,"[['WALK', 1076, 1313]]"
57,True,1,1693,2016.08,0,0,0,"[['WALK', 1693, 2016]]"
58,True,1,1562,1907.93,0,0,0,"[['WALK', 1562, 1907]]"
59,True,1,1329,1647.51,0,0,0,"[['WALK', 1329, 1647]]"
60,True,1,2051,2596.29,0,0,0,"[['WALK', 2051, 2596]]"
61,True,1,2279,2882.66,0,0,0,"[['WALK', 2279, 2882]]"
62,True,1,1126,1341.58,0,0,0,"[['WALK', 1126, 1341]]"
63,True,1,2645,3188.2,0,0,0,"[['WALK', 2645, 3188]]"
64,True,1,1647,1992.53,0,0,0,"[['WALK', 1647, 1992]]"
65,True,3,1659,1513.97,0,180,0,"[['WALK', 919, 1019], ['RAIL', 180, 1852], ['WALK', 560, 494]]"
66,True,1,1671,2064.5,0,0,0,"[['WALK', 1671, 2064]]"
67,True,1,1679,2074.16,0,0,0,"[['WALK', 1679, 2074]]"
68,True,1,1562,1900.46,0,0,0,"[['WALK', 1562, 1900]]"
69,True,3,2437,2512.33,0,180,0,"[['WALK', 1179, 1270], ['RAIL', 180, 1852], ['WALK', 1078, 1241]]"
70,True,4,3292,3695.14,0,180,0,"[['WALK', 1759, 2030], ['RAIL', 180, 1852], ['WALK', 1353, 1664]]"
71,True,1,1857,2266.33,0,0,0,"[['WALK', 1857, 2266]]"
72,True,1,3358,4143.53,0,0,0,"[['WALK', 3358, 4143]]"
73,True,1,1628,2009.51,0,0,0,"[['WALK', 1628, 2009]]"
74,True,1,1684,2089.77,0,0,0,"[['WALK', 1684, 2089]]"
75,True,1,1380,1705.47,0,0,0,"[['WALK', 1380, 1705]]"
76,True,1,2702,3390.63,0,0,0,"[['WALK', 2702, 3390]]"
77,True,1,2012,2434.49,0,0,0,"[['WALK', 2012, 2434]]"
78,True,1,1396,1727.4,0,0,0,"[['WALK', 1396, 1727]]"
79,True,1,2997,3710.3,0,0,0,"[['WALK', 2997, 3710]]"
80,True,1,1650,2033.52,0,0,0,"[['WALK', 1650, 2033]]"
81,True,1,1888,2355.67,0,0,0,"[['WALK', 1888, 2355]]"
82,True,1,2049,2491.42,0,0,0,"[['WALK', 2049, 2491]]"
83,True,4,1694,1684.36,0,180,0,"[['WALK', 1100, 1222], ['RAIL', 180, 1852], ['WALK', 414, 461]]"
84,True,1,3092,3943.46,0,0,0,"[['WALK', 3092, 3943]]"
85,True,1,1937,2379.75,0,0,0,"[['WALK', 1937, 2379]]"
86,True,3,4180,4733.26,0,180,0,"[['WALK', 2190, 2679], ['RAIL', 180, 1852], ['WALK', 1810, 2053]]"
87,True,1,1945,2368.81,0,0,0,"[['WALK', 1945, 2368]]"
88,True,1,1997,2466.38,0,0,0,"[['WALK', 1997, 2466]]"
89,True,1,1976,2427.94,0,0,0,"[['WALK', 1976, 2427]]"
90,True,5,3299,3601.94,0,180,0,"[['WALK', 1027, 1213], ['RAIL', 180, 1852], ['WALK', 2092, 2388]]"
91,True,1,921,1139.42,0,0,0,"[['WALK', 921, 1139]]"
92,True,1,3011,3792.94,0,0,0,"[['WALK', 3011, 3792]]"
93,True,1,1314,1624.75,0,0,0,"[['WALK', 1314, 1624]]"
94,True,1,1237,1529.92,0,0,0,"[['WALK', 1237, 1529]]"
95,True,1,2534,3257.83,0,0,0,"[['WALK', 2534, 3257]]"
96,True,1,2067,2532.49,0,0,0,"[['WALK', 2067, 2532]]"
97,True,1,1671,2029.75,0,0,0,"[['WALK', 1671, 2029]]"
98,True,1,1559,1923.35,0,0,0,"[['WALK', 1559, 1923]]"
99,True,1,1882,2300.86,0,0,0,"[['WALK', 1882, 2300]]"
100,True,1,1740,2105.35,0,0,0,"[['WALK', 1740, 2105]]"
101,True,1,2906,3509.91,0,0,0,"[['WALK', 2906, 3509]]"
102,True,1,1459,1796.06,0,0,0,"[['WALK', 1459, 1796]]"
103,True,1,2595,3257.12,0,0,0,"[['WALK', 2595, 3257]]"
104,True,1,2235,2698.04,0,0,0,"[['WALK', 2235, 2698]]"
105,True,1,3292,4061.83,0,0,0,"[['WALK', 3292, 4061]]"
106,True,4,2817,2956.87,0,180,0,"[['WALK', 1413, 1573], ['RAIL', 180, 1852], ['WALK', 1224, 1383]]"
107,True,1,1555,1932.49,0,0,0,"[['WALK', 1555, 1932]]"
108,True,1,1541,1888.15,0,0,0,"[['WALK', 1541, 1888]]"
109,True,1,2883,3518.55,0,0,0,"[['WALK', 2883, 3518]]"
110,True,1,1652,1977.79,0,0,0,"[['WALK', 1652, 1977]]"
111,True,3,3388,3662.96,0,180,0,"[['WALK', 1927, 2241], ['RAIL', 180, 1852], ['WALK', 1281, 1421]]"
112,True,1,1633,1965.75,0,0,0,"[['WALK', 1633, 1965]]"
113,True,1,1668,2012.67,0,0,0,"[['WALK', 1668, 2012]]"
114,True,4,2626,2778.6,0,180,0,"[['WALK', 1825, 2054], ['RAIL', 180, 1852], ['WALK', 621, 724]]"
115,True,1,2745,3436.02,0,0,0,"[['WALK', 2745, 3436]]"
116,True,1,1956,2463.59,0,0,0,"[['WALK', 1956, 2463]]"
117,True,1,1992,2419.74,0,0,0,"[['WALK', 1992, 2419]]"
118,True,1,2161,2655.15,0,0,0,"[['WALK', 2161, 2655]]"
119,True,1,2621,3214.88,0,0,0,"[['WALK', 2621, 3214]]"
120,True,1,2944,3535.88,0,0,0,"[['WALK', 2944, 3535]]"
121,True,1,1932,2331.04,0,0,0,"[['WALK', 1932, 2331]]"
122,True,1,2315,2893.54,0,0,0,"[['WALK', 2315, 2893]]"
123,True,1,1377,1697.35,0,0,0,"[['WALK', 1377, 1697]]"
124,True,1,2050,2553.15,0,0,0,"[['WALK', 2050, 2553]]"
125,True,1,2105,2599.88,0,0,0,"[['WALK', 2105, 2599]]"
126,True,4,2815,3049.12,0,180,0,"[['WALK', 1741, 1951], ['RAIL', 180, 1852], ['WALK', 894, 1097]]"
127,True,1,1666,2059.44,0,0,0,"[['WALK', 1666, 2059]]"
128,True,4,2667,2768.09,0,180,0,"[['WALK', 1480, 1701], ['RAIL', 180, 1852], ['WALK', 1007, 1066]]"
129,True,1,2494,3077.47,0,0,0,"[['WALK', 2494, 3077]]"
130,True,1,2571,3208.52,0,0,0,"[['WALK', 2571, 3208]]"
131,True,4,2870,3039.44,0,180,0,"[['WALK', 1222, 1378], ['RAIL', 180, 1852], ['WALK', 1468, 1660]]"
132,True,4,1898,1904.26,0,180,0,"[['WALK', 1443, 1606], ['RAIL', 180, 1852], ['WALK', 275, 298]]"
133,True,1,3511,4292.41,0,0,0,"[['WALK', 3511, 4292]]"
134,True,1,2014,2421.11,0,0,0,"[['WALK', 2014, 2421]]"
135,True,1,2429,2975.5,0,0,0,"[['WALK', 2429, 2975]]"
136,True,1,1948,2351.39,0,0,0,"[['WALK', 1948, 2351]]"
137,True,5,2805,3053.06,0,180,0,"[['WALK', 1093, 1170], ['RAIL', 180, 1852], ['WALK', 1532, 1882]]"
138,True,1,1566,1845.02,0,0,0,"[['WALK', 1566, 1845]]"
139,True,1,3027,3683.35,0,0,0,"[['WALK', 3027, 3683]]"
140,True,4,2489,2569.5,0,180,0,"[['WALK', 1439, 1599], ['RAIL', 180, 1852], ['WALK', 870, 970]]"
141,True,1,2126,2556.39,0,0,0,"[['WALK', 2126, 2556]]"
142,True,1,1985,2441.09,0,0,0,"[['WALK', 1985, 2441]]"
143,True,1,1464,1832.41,0,0,0,"[['WALK', 1464, 1832]]"
144,True,1,1736,2127.14,0,0,0,"[['WALK', 1736, 2127]]"
145,True,1,1692,2057.98,0,0,0,"[['WALK', 1692, 2057]]"
146,True,1,1472,1779.67,0,0,0,"[['WALK', 1472, 1779]]"
147,True,1,2695,3250.49,0,0,0,"[['WALK', 2695, 3250]]"
148,True,1,2179,2593.06,0,0,0,"[['WALK', 2179, 2593]]"
149,True,1,2711,3427.25,0,0,0,"[['WALK', 2711, 3427]]"
150,True,1,2460,3095.87,0,0,0,"[['WALK', 2460, 3095]]"
151,True,4,2607,2791.7,0,180,0,"[['WALK', 1459, 1623], ['RAIL', 180, 1852], ['WALK', 968, 1168]]"
152,True,1,2399,2956.73,0,0,0,"[['WALK', 2399, 2956]]"
153,True,1,2508,3096.65,0,0,0,"[['WALK', 2508, 3096]]"
154,True,1,2888,3495.17,0,0,0,"[['WALK', 2888, 3495]]"
155,True,4,1945,2019.87,0,180,0,"[['WALK', 1268, 1497], ['RAIL', 180, 1852], ['WALK', 497, 522]]"
156,True,1,1863,2387.45,0,0,0,"[['WALK', 1863, 2387]]"
157,True,1,2558,3226.18,0,0,0,"[['WALK', 2558, 3226]]"
158,True,1,2227,2774.62,0,0,0,"[['WALK', 2227, 2774]]"
159,True,1,2044,2455.23,0,0,0,"[['WALK', 2044, 2455]]"
160,True,4,2824,2951.57,0,180,0,"[['WALK', 1333, 1529], ['RAIL', 180, 1852], ['WALK', 1311, 1421]]"
161,True,1,1883,2268.91,0,0,0,"[['WALK', 1883, 2268]]"
162,True,1,1848,2296.49,0,0,0,"[['WALK', 1848, 2296]]"
163,True,1,1847,2265.6,0,0,0,"[['WALK', 1847, 2265]]"
164,True,1,1640,1954.4,0,0,0,"[['WALK', 1640, 1954]]"
165,True,1,1441,1734.33,0,0,0,"[['WALK', 1441, 1734]]"
166,True,4,1360,1337.72,0,180,0,"[['WALK', 488, 569], ['RAIL', 180, 1852], ['WALK', 692, 768]]"
167,True,4,1791,1930.29,0,180,0,"[['WALK', 731, 871], ['RAIL', 180, 1852], ['WALK', 880, 1058]]"
168,True,1,2152,2607.31,0,0,0,"[['WALK', 2152, 2607]]"
169,True,1,1713,2085.95,0,0,0,"[['WALK', 1713, 2085]]"
170,True,1,2963,3598.24,0,0,0,"[['WALK', 2963, 3598]]"
171,True,1,2745,3330.88,0,0,0,"[['WALK', 2745, 3330]]"
172,True,1,1351,1672.56,0,0,0,"[['WALK', 1351, 1672]]"
173,True,5,2449,2559.16,0,180,0,"[['WALK', 888, 1046], ['RAIL', 180, 1852], ['WALK', 1381, 1512]]"
174,True,1,2052,2464.31,0,0,0,"[['WALK', 2052, 2464]]"
175,True,1,1955,2333.92,0,0,0,"[['WALK', 1955, 2333]]"
176,True,3,3302,3590.87,0,180,0,"[['WALK', 1771, 2111], ['RAIL', 180, 1852], ['WALK', 1351, 1479]]"
177,True,1,1401,1738.02,0,0,0,"[['WALK', 1401, 1738]]"
178,True,4,1488,1348.82,0,180,0,"[['WALK', 804, 786], ['RAIL', 180, 1852], ['WALK', 504, 562]]"
179,True,1,2314,2766.35,0,0,0,"[['WALK', 2314, 2766]]"
180,True,1,3121,3847.07,0,0,0,"[['WALK', 3121, 3847]]"
181,True,1,1497,1838.09,0,0,0,"[['WALK', 1497, 1838]]"
182,True,1,908,1124.18,0,0,0,"[['WALK', 908, 1124]]"
183,True,1,3166,3964.98,0,0,0,"[['WALK', 3166, 3964]]"
184,True,4,1968,1972.72,0,180,0,"[['WALK', 916, 1078], ['RAIL', 180, 1852], ['WALK', 872, 894]]"
185,True,1,1544,1919.62,0,0,0,"[['WALK', 1544, 1919]]"
186,True,1,1979,2426.92,0,0,0,"[['WALK', 1979, 2426]]"
187,True,1,1051,1290.72,0,0,0,"[['WALK', 1051, 1290]]"
188,True,1,2075,2526.41,0,0,0,"[['WALK', 2075, 2526]]"
189,True,1,686,867.93,0,0,0,"[['WALK', 686, 867]]"
190,True,1,1688,2073.06,0,0,0,"[['WALK', 1688, 2073]]"
191,True,1,1665,1998.69,0,0,0,"[['WALK', 1665, 1998]]"
192,True,1,1438,1769.0,0,0,0,"[['WALK', 1438, 1769]]"
193,True,1,3074,3788.16,0,0,0,"[['WALK', 3074, 3788]]"
194,True,1,1939,2375.7,0,0,0,"[['WALK', 1939, 2375]]"
195,True,1,1048,1254.87,0,0,0,"[['WALK', 1048, 1254]]"
196,True,1,1334,1651.9,0,0,0,"[['WALK', 1334, 1651]]"
197,True,1,3154,3833.54,0,0,0,"[['WALK', 3154, 3833]]"
198,True,1,1606,1902.57,0,0,0,"[['WALK', 1606, 1902]]"
199,True,1,1438,1749.96,0,0,0,"[['WALK', 1438, 1749]]"
200,True,1,1547,1902.83,0,0,0,"[['WALK', 1547, 1902]]"
201,True,1,1792,2104.58,0,0,0,"[['WALK', 1792, 2104]]"
202,True,1,1085,1324.05,0,0,0,"[['WALK', 1085, 1324]]"
203,True,1,2321,2889.8,0,0,0,"[['WALK', 2321, 2889]]"
204,True,1,2194,2660.41,0,0,0,"[['WALK', 2194, 2660]]"
205,True,1,2326,2882.33,0,0,0,"[['WALK', 2326, 2882]]"
206,True,3,2144,2274.45,0,180,0,"[['WALK', 1472, 1706], ['RAIL', 180, 1852], ['WALK', 492, 568]]"
207,True,1,1268,1500.03,0,0,0,"[['WALK', 1268, 1500]]"
208,True,1,2348,2834.85,0,0,0,"[['WALK', 2348, 2834]]"
209,True,1,1675,2041.74,0,0,0,"[['WALK', 1675, 2041]]"
210,True,1,1763,2139.47,0,0,0,"[['WALK', 1763, 2139]]"
211,True,4,1532,1417.08,0,180,0,"[['WALK', 780, 776], ['RAIL', 180, 1852], ['WALK', 572, 640]]"
212,True,1,2352,2777.54,0,0,0,"[['WALK', 2352, 2777]]"
213,True,1,1351,1668.5,0,0,0,"[['WALK', 1351, 1668]]"
214,True,1,2418,3006.51,0,0,0,"[['WALK', 2418, 3006]]"
215,True,1,1228,1457.27,0,0,0,"[['WALK', 1228, 1457]]"
216,True,1,1774,2143.12,0,0,0,"[['WALK', 1774, 2143]]"
217,True,1,1927,2361.41,0,0,0,"[['WALK', 1927, 2361]]"
218,True,1,1340,1659.29,0,0,0,"[['WALK', 1340, 1659]]"
219,True,5,3180,3421.61,0,180,0,"[['WALK', 2295, 2744], ['RAIL', 180, 1852], ['WALK', 705, 676]]"
220,True,1,2368,2899.65,0,0,0,"[['WALK', 2368, 2899]]"
221,True,1,1983,2440.33,0,0,0,"[['WALK', 1983, 2440]]"
222,True,1,2157,2599.27,0,0,0,"[['WALK', 2157, 2599]]"
223,True,1,796,932.41,0,0,0,"[['WALK', 796, 932]]"
224,True,1,2279,2777.48,0,0,0,"[['WALK', 2279, 2777]]"
225,True,3,2816,3021.6,0,180,0,"[['WALK', 1483, 1617], ['RAIL', 180, 1852], ['WALK', 1153, 1403]]"
226,True,1,1274,1580.21,0,0,0,"[['WALK', 1274, 1580]]"
227,True,1,2229,2870.92,0,0,0,"[['WALK', 2229, 2870]]"
228,True,1,2833,3437.0,0,0,0,"[['WALK', 2833, 3437]]"
229,True,1,2273,2777.07,0,0,0,"[['WALK', 2273, 2777]]"
230,True,1,2648,3211.38,0,0,0,"[['WALK', 2648, 3211]]"
231,True,4,3931,4360.38,0,180,0,"[['WALK', 2045, 2445], ['RAIL', 180, 1852], ['WALK', 1706, 1914]]"
232,True,1,2992,3681.6,0,0,0,"[['WALK', 2992, 3681]]"
233,True,1,1980,2423.65,0,0,0,"[['WALK', 1980, 2423]]"
234,True,4,3133,3295.78,0,180,0,"[['WALK', 1073, 1122], ['RAIL', 180, 1852], ['WALK', 1880, 2172]]"
235,True,1,1776,2132.51,0,0,0,"[['WALK', 1776, 2132]]"
236,True,1,2211,2777.37,0,0,0,"[['WALK', 2211, 2777]]"
237,True,1,1340,1650.16,0,0,0,"[['WALK', 1340, 1650]]"
238,True,4,2355,2399.9,0,180,0,"[['WALK', 754, 816], ['RAIL', 180, 1852], ['WALK', 1421, 1583]]"
239,True,1,2225,2786.12,0,0,0,"[['WALK', 2225, 2786]]"
240,True,1,1371,1669.36,0,0,0,"[['WALK', 1371, 1669]]"
241,True,1,1956,2320.6,0,0,0,"[['WALK', 1956, 2320]]"
242,True,1,2371,2878.23,0,0,0,"[['WALK', 2371, 2878]]"
243,True,1,1473,1813.74,0,0,0,"[['WALK', 1473, 1813]]"
244,True,3,2462,2599.37,0,180,0,"[['WALK', 1236, 1483], ['RAIL', 180, 1852], ['WALK', 1046, 1116]]"
245,True,1,3026,3708.45,0,0,0,"[['WALK', 3026, 3708]]"
246,True,1,1599,1948.69,0,0,0,"[['WALK', 1599, 1948]]"
247,True,1,1812,2247.45,0,0,0,"[['WALK', 1812, 2247]]"
248,True,1,1773,2152.25,0,0,0,"[['WALK', 1773, 2152]]"
249,True,4,2727,2836.11,0,180,0,"[['WALK', 1030, 1154], ['RAIL', 180, 1852], ['WALK', 1517, 1681]]"
250,True,1,2535,3069.88,0,0,0,"[['WALK', 2535, 3069]]"
251,True,1,2127,2562.68,0,0,0,"[['WALK', 2127, 2562]]"
252,True,1,1666,2025.6,0,0,0,"[['WALK', 1666, 2025]]"
253,True,1,1276,1536.92,0,0,0,"[['WALK', 1276, 1536]]"
254,True,1,1744,2144.62,0,0,0,"[['WALK', 1744, 2144]]"
255,True,1,2252,2777.02,0,0,0,"[['WALK', 2252, 2777]]"
256,True,4,2408,2537.11,0,180,0,"[['WALK', 812, 943], ['RAIL', 180, 1852], ['WALK', 1416, 1593]]"
257,True,1,1307,1553.96,0,0,0,"[['WALK', 1307, 1553]]"
258,True,1,1672,2054.67,0,0,0,"[['WALK', 1672, 2054]]"
259,True,1,1424,1793.58,0,0,0,"[['WALK', 1424, 1793]]"
260,True,1,2576,3098.9,0,0,0,"[['WALK', 2576, 3098]]"
261,True,1,3007,3654.01,0,0,0,"[['WALK', 3007, 3654]]"
262,True,1,2071,2545.36,0,0,0,"[['WALK', 2071, 2545]]"
263,True,4,3527,3881.52,0,180,0,"[['WALK', 1928, 2290], ['RAIL', 180, 1852], ['WALK', 1419, 1590]]"
264,True,1,2087,2510.52,0,0,0,"[['WALK', 2087, 2510]]"
265,True,1,2296,2803.99,0,0,0,"[['WALK', 2296, 2803]]"
266,True,1,1441,1754.99,0,0,0,"[['WALK', 1441, 1754]]"
267,True,1,2219,2719.33,0,0,0,"[['WALK', 2219, 2719]]"
268,True,1,522,645.81,0,0,0,"[['WALK', 522, 645]]"
269,True,1,1817,2231.73,0,0,0,"[['WALK', 1817, 2231]]"
270,True,1,1494,1870.13,0,0,0,"[['WALK', 1494, 1870]]"
271,True,1,3064,3710.48,0,0,0,"[['WALK', 3064, 3710]]"
272,True,1,1837,2236.6,0,0,0,"[['WALK', 1837, 2236]]"
273,True,1,2922,3538.85,0,0,0,"[['WALK', 2922, 3538]]"
274,True,1,1513,1849.67,0,0,0,"[['WALK', 1513, 1849]]"
275,True,1,1424,1718.84,0,0,0,"[['WALK', 1424, 1718]]"
276,True,1,1828,2220.25,0,0,0,"[['WALK', 1828, 2220]]"
277,True,4,3298,3502.39,0,180,0,"[['WALK', 1695, 1920], ['RAIL', 180, 1852], ['WALK', 1423, 1581]]"
278,True,1,1233,1524.71,0,0,0,"[['WALK', 1233, 1524]]"
279,True,1,1628,2001.57,0,0,0,"[['WALK', 1628, 2001]]"
280,True,1,1764,2230.28,0,0,0,"[['WALK', 1764, 2230]]"
281,True,1,2499,3107.62,0,0,0,"[['WALK', 2499, 3107]]"
282,True,1,2459,2977.53,0,0,0,"[['WALK', 2459, 2977]]"
283,True,1,2912,3564.27,0,0,0,"[['WALK', 2912, 3564]]"
284,True,4,2982,3160.97,0,180,0,"[['WALK', 1139, 1290], ['RAIL', 180, 1852], ['WALK', 1663, 1870]]"
285,True,1,1677,2018.28,0,0,0,"[['WALK', 1677, 2018]]"
286,True,1,3446,4191.57,0,0,0,"[['WALK', 3446, 4191]]"
287,True,1,1071,1313.56,0,0,0,"[['WALK', 1071, 1313]]"
288,True,1,1642,2002.43,0,0,0,"[['WALK', 1642, 2002]]"
289,True,1,2087,2548.9,0,0,0,"[['WALK', 2087, 2548]]"
290,True,1,1216,1502.25,0,0,0,"[['WALK', 1216, 1502]]"
291,True,4,2862,3089.02,0,180,0,"[['WALK', 1259, 1507], ['RAIL', 180, 1852], ['WALK', 1423, 1581]]"
292,True,1,2914,3600.68,0,0,0,"[['WALK', 2914, 3600]]"
293,True,1,1787,2189.56,0,0,0,"[['WALK', 1787, 2189]]"
294,True,1,1657,2048.92,0,0,0,"[['WALK', 1657, 2048]]"
295,True,1,2407,2990.94,0,0,0,"[['WALK', 2407, 2990]]"
296,True,1,1859,2265.46,0,0,0,"[['WALK', 1859, 2265]]"
297,True,1,1657,2013.97,0,0,0,"[['WALK', 1657, 2013]]"
298,True,1,2402,3014.19,0,0,0,"[['WALK', 2402, 3014]]"
299,True,1,2734,3332.51,0,0,0,"[['WALK', 2734, 3332]]"
300,True,1,1458,1705.9,0,0,0,"[['WALK', 1458, 1705]]"
301,True,1,1829,2229.47,0,0,0,"[['WALK', 1829, 2229]]"
302,True,1,1158,1420.8,0,0,0,"[['WALK', 1158, 1420]]"
303,True,1,1868,2254.7,0,0,0,"[['WALK', 1868, 2254]]"
304,True,1,2425,2963.02,0,0,0,"[['WALK', 2425, 2963]]"
305,True,4,3371,3630.02,0,180,0,"[['WALK', 2061, 2320], ['RAIL', 180, 1852], ['WALK', 1130, 1309]]"
306,True,1,2483,2976.84,0,0,0,"[['WALK', 2483, 2976]]"
307,True,1,2745,3349.44,0,0,0,"[['WALK', 2745, 3349]]"
308,True,1,2503,2975.66,0,0,0,"[['WALK', 2503, 2975]]"
309,True,1,1887,2260.35,0,0,0,"[['WALK', 1887, 2260]]"
310,True,1,2003,2411.3,0,0,0,"[['WALK', 2003, 2411]]"
311,True,1,2157,2649.93,0,0,0,"[['WALK', 2157, 2649]]"
312,True,1,2512,2986.37,0,0,0,"[['WALK', 2512, 2986]]"
313,True,1,3508,4231.56,0,0,0,"[['WALK', 3508, 4231]]"
314,True,1,2315,2781.15,0,0,0,"[['WALK', 2315, 2781]]"
315,True,1,1992,2375.77,0,0,0,"[['WALK', 1992, 2375]]"
316,True,4,3391,3758.13,0,180,0,"[['WALK', 2165, 2641], ['RAIL', 180, 1852], ['WALK', 1046, 1116]]"
317,True,1,1876,2205.94,0,0,0,"[['WALK', 1876, 2205]]"
318,True,3,1147,971.64,0,180,0,"[['WALK', 670, 642], ['RAIL', 180, 1852], ['WALK', 297, 328]]"
319,True,1,1966,2416.69,0,0,0,"[['WALK', 1966, 2416]]"
320,True,1,2770,3398.71,0,0,0,"[['WALK', 2770, 3398]]"
321,True,3,1900,1861.99,0,180,0,"[['WALK', 1051, 1214], ['RAIL', 180, 1852], ['WALK', 669, 647]]"
322,True,1,1930,2330.21,0,0,0,"[['WALK', 1930, 2330]]"
323,True,1,2438,3032.51,0,0,0,"[['WALK', 2438, 3032]]"
324,True,4,2160,2254.27,0,180,0,"[['WALK', 1274, 1413], ['RAIL', 180, 1852], ['WALK', 706, 840]]"
325,True,1,2724,3350.36,0,0,0,"[['WALK', 2724, 3350]]"
326,True,1,1875,2361.89,0,0,0,"[['WALK', 1875, 2361]]"
327,True,3,1282,1206.28,0,180,0,"[['WALK', 635, 697], ['RAIL', 180, 1852], ['WALK', 467, 508]]"
