pax_id,origin,destination,treq,tdep,ttrav,tarr,tdrop,shareable,schedule_id,dist,origin_x,origin_y,destination_x,destination_y
19,2162658839,44852423,2023-09-19 09:01:46,,0 days 00:03:42,2023-09-19 09:05:28,,False,,2220,4.3507521,51.9975991,4.343048,52.0120505
20,4589342569,44783329,2023-09-19 09:01:56,,0 days 00:03:24,2023-09-19 09:05:20,,False,,2044,4.3559812,52.0059087,4.3421259,51.9965676
21,44861481,3581094279,2023-09-19 09:01:58,,0 days 00:04:19,2023-09-19 09:06:17,,False,,2599,4.3320578,52.0142495,4.3551531,52.0043527
22,1552650711,1436427208,2023-09-19 09:02:02,,0 days 00:06:34,2023-09-19 09:08:36,,False,,3949,4.3410681,52.0002309,4.3739406,52.0155653
23,3420136000,44753928,2023-09-19 09:02:11,,0 days 00:03:42,2023-09-19 09:05:53,,False,,2225,4.3552272,52.0032264,4.3443631,51.9900047
24,44882710,4053473202,2023-09-19 09:02:15,,0 days 00:04:26,2023-09-19 09:06:41,,False,,2667,4.36397,52.0197103,4.356863,52.0035673
25,1838103222,874115743,2023-09-19 09:02:22,,0 days 00:05:17,2023-09-19 09:07:39,,False,,3176,4.3651194,52.0138773,4.3442667,52.0013763
26,610983540,2635624112,2023-09-19 09:02:34,,0 days 00:05:12,2023-09-19 09:07:46,,False,,3120,4.3726508,52.0109376,4.3393514,52.0139518
27,1570984994,3510592637,2023-09-19 09:02:42,,0 days 00:04:13,2023-09-19 09:06:55,,False,,2532,4.3580643,51.9980073,4.3501535,52.014411
28,1391531760,5124502152,2023-09-19 09:02:45,,0 days 00:05:38,2023-09-19 09:08:23,,False,,3384,4.3622868,52.0124708,4.3444121,52.0046382
29,44727438,582518307,2023-09-19 09:03:04,,0 days 00:06:27,2023-09-19 09:09:31,,False,,3874,4.3632052,51.9844371,4.3766737,52.0026864
30,1519889905,4407956433,2023-09-19 09:03:09,,0 days 00:08:01,2023-09-19 09:11:10,,False,,4819,4.3462152,51.9826697,4.3726139,52.0061193
31,44841079,2323108138,2023-09-19 09:03:18,,0 days 00:03:22,2023-09-19 09:06:40,,False,,2026,4.3715478,52.0094149,4.3519781,52.0164762
32,1413911135,44834050,2023-09-19 09:03:26,,0 days 00:04:47,2023-09-19 09:08:13,,False,,2876,4.36476,52.016642,4.3523913,52.007957
33,2623902896,565046997,2023-09-19 09:03:31,,0 days 00:06:33,2023-09-19 09:10:04,,False,,3938,4.3771633,52.0114335,4.3372837,52.0014462
34,253143148,3377240345,2023-09-19 09:03:51,,0 days 00:05:13,2023-09-19 09:09:04,,False,,3139,4.3526104,51.9854122,4.3541882,52.0010144
35,1433962992,1435362424,2023-09-19 09:03:54,,0 days 00:08:31,2023-09-19 09:12:25,,False,,5114,4.3733593,51.9915604,4.3387264,52.0085081
36,3709850020,4228809539,2023-09-19 09:04:13,,0 days 00:03:53,2023-09-19 09:08:06,,False,,2332,4.3562114,51.9859646,4.3540308,52.0022546
37,44819704,44718825,2023-09-19 09:04:20,,0 days 00:06:20,2023-09-19 09:10:40,,False,,3805,4.3485084,52.0058057,4.3568489,51.9827991
38,1570983034,44831875,2023-09-19 09:04:44,,0 days 00:06:11,2023-09-19 09:10:55,,False,,3716,4.3668974,51.9821535,4.3532998,52.0073995
39,44851133,44813594,2023-09-19 09:04:48,,0 days 00:04:20,2023-09-19 09:09:08,,False,,2605,4.3474167,52.0118586,4.3671581,52.0036833
40,1530303715,1569975267,2023-09-19 09:04:52,,0 days 00:06:48,2023-09-19 09:11:40,,False,,4080,4.3580433,52.0142252,4.3602687,51.99352
41,3534010196,4407940597,2023-09-19 09:04:55,,0 days 00:03:47,2023-09-19 09:08:42,,False,,2274,4.3549626,52.0045232,4.3723567,52.0065598
42,44750628,3377240340,2023-09-19 09:05:06,,0 days 00:03:39,2023-09-19 09:08:45,,False,,2195,4.3494938,51.9893477,4.3539435,52.0009278
43,44845283,630748802,2023-09-19 09:05:06,,0 days 00:07:16,2023-09-19 09:12:22,,False,,4360,4.3866317,52.0104541,4.3446842,52.0133938
44,44861495,839335219,2023-09-19 09:05:06,,0 days 00:04:37,2023-09-19 09:09:43,,False,,2776,4.3521584,52.0142212,4.3550001,51.9962279
45,484689684,44767578,2023-09-19 09:05:14,,0 days 00:04:38,2023-09-19 09:09:52,,False,,2780,4.3523962,52.0118114,4.3531113,51.993002
46,44839614,44787298,2023-09-19 09:05:17,,0 days 00:05:31,2023-09-19 09:10:48,,False,,3318,4.3772091,52.0090564,4.3454018,51.9974707
47,1435362529,44796534,2023-09-19 09:05:24,,0 days 00:04:37,2023-09-19 09:10:01,,False,,2777,4.3334449,52.0140959,4.3554016,51.9995658
48,1568976634,1530303735,2023-09-19 09:05:38,,0 days 00:07:15,2023-09-19 09:12:53,,False,,4355,4.3372336,51.9932068,4.3563616,52.0156164
49,44909275,44831010,2023-09-19 09:05:44,,0 days 00:04:24,2023-09-19 09:10:08,,False,,2648,4.356223,52.0255551,4.3753401,52.0071703
50,582004873,1569975179,2023-09-19 09:05:47,,0 days 00:05:20,2023-09-19 09:11:07,,False,,3202,4.3634766,52.0053145,4.3606441,51.9923746
51,44813588,44818951,2023-09-19 09:05:50,,0 days 00:04:53,2023-09-19 09:10:43,,False,,2938,4.3488902,52.003614,4.37886,52.0049641
52,4554554060,1402734605,2023-09-19 09:05:57,,0 days 00:04:17,2023-09-19 09:10:14,,False,,2579,4.3596948,52.0004968,4.3617845,51.9880177
53,4810005054,44804961,2023-09-19 09:05:59,,0 days 00:05:30,2023-09-19 09:11:29,,False,,3308,4.3683955,51.9814414,4.3497,52.0015
54,1563023404,44846109,2023-09-19 09:06:00,,0 days 00:05:35,2023-09-19 09:11:35,,False,,3359,4.3576265,51.9865602,4.3498275,52.0105759
55,1402598826,44846557,2023-09-19 09:06:14,,0 days 00:06:03,2023-09-19 09:12:17,,False,,3639,4.3786895,52.0119276,4.342,52.0107
56,44854736,44875434,2023-09-19 09:06:22,,0 days 00:03:24,2023-09-19 09:09:46,,False,,2048,4.3479227,52.0125323,4.3612903,52.0177204
57,44817969,44831875,2023-09-19 09:06:23,,0 days 00:04:11,2023-09-19 09:10:34,,False,,2516,4.3753426,52.0047897,4.3532998,52.0073995
58,4498838079,643586567,2023-09-19 09:06:48,,0 days 00:03:41,2023-09-19 09:10:29,,False,,2218,4.3366953,52.0133298,4.3437738,51.9997805
59,44774830,1569647777,2023-09-19 09:06:49,,0 days 00:04:51,2023-09-19 09:11:40,,False,,2910,4.3586364,51.9946577,4.3629216,52.0042089
60,1679761037,1508490990,2023-09-19 09:06:57,,0 days 00:05:08,2023-09-19 09:12:05,,False,,3089,4.3501937,51.9873559,4.3489442,52.0075898
61,643587012,4438942332,2023-09-19 09:07:15,,0 days 00:04:50,2023-09-19 09:12:05,,False,,2908,4.3469587,51.9833275,4.3561004,52.0029869
62,1435362415,44869798,2023-09-19 09:07:25,,0 days 00:03:35,2023-09-19 09:11:00,,False,,2159,4.340246,52.0080868,4.3454298,52.0163665
63,5327428579,1508490990,2023-09-19 09:07:39,,0 days 00:05:59,2023-09-19 09:13:38,,False,,3595,4.3809962,51.9993783,4.3489442,52.0075898
64,564923555,3151169335,2023-09-19 09:07:54,,0 days 00:04:16,2023-09-19 09:12:10,,False,,2564,4.342504,52.0065441,4.3618783,52.0010243
65,44732933,4261100545,2023-09-19 09:07:54,,0 days 00:05:12,2023-09-19 09:13:06,,False,,3120,4.3648548,51.9853376,4.3552244,52.0057177
66,44862225,4300758655,2023-09-19 09:07:58,,0 days 00:04:04,2023-09-19 09:12:02,,False,,2441,4.3686495,52.014463,4.3530635,52.0020464
67,7399789770,1460714944,2023-09-19 09:08:14,,0 days 00:03:38,2023-09-19 09:11:52,,False,,2182,4.3489474,52.0059179,4.327621,52.009128
68,4555788280,44863340,2023-09-19 09:08:39,,0 days 00:03:29,2023-09-19 09:12:08,,False,,2093,4.3569979,52.0031103,4.343489,52.014808
69,44858614,1570983109,2023-09-19 09:08:40,,0 days 00:08:22,2023-09-19 09:17:02,,False,,5022,4.3642165,52.0134708,4.3645335,51.9823474
70,527378782,1448535813,2023-09-19 09:08:45,,0 days 00:08:09,2023-09-19 09:16:54,,False,,4894,4.3526303,52.0219204,4.3465155,51.9845565
71,44852049,44774810,2023-09-19 09:08:53,,0 days 00:04:36,2023-09-19 09:13:29,,False,,2767,4.3361471,52.0119174,4.3441291,51.9945825
72,44816479,1668136732,2023-09-19 09:08:54,,0 days 00:08:13,2023-09-19 09:17:07,,False,,4937,4.3829554,52.0043229,4.3578967,51.9812414
73,44859966,44795675,2023-09-19 09:08:55,,0 days 00:04:04,2023-09-19 09:12:59,,False,,2446,4.3536803,52.0138214,4.3511577,51.9993607
74,44877771,1391531638,2023-09-19 09:09:13,,0 days 00:05:28,2023-09-19 09:14:41,,False,,3280,4.3605175,52.0183782,4.3609929,52.0045684
75,44735527,1448535757,2023-09-19 09:09:23,,0 days 00:04:10,2023-09-19 09:13:33,,False,,2503,4.3597096,51.9861712,4.3382206,51.9813339
76,44891423,4124549374,2023-09-19 09:09:25,,0 days 00:05:56,2023-09-19 09:15:21,,False,,3565,4.3574182,52.0217325,4.3518371,51.998128
77,44835830,44847929,2023-09-19 09:09:37,,0 days 00:04:58,2023-09-19 09:14:35,,False,,2984,4.3785077,52.0081887,4.3492019,52.0110877
78,4239889943,1569975372,2023-09-19 09:09:52,,0 days 00:03:52,2023-09-19 09:13:44,,False,,2320,4.3629575,52.0072319,4.3601601,51.9955724
79,3669218076,1421472390,2023-09-19 09:09:52,,0 days 00:06:38,2023-09-19 09:16:30,,False,,3982,4.358866,52.0210628,4.3543073,51.9944339
80,2558916191,44842009,2023-09-19 09:10:04,,0 days 00:04:57,2023-09-19 09:15:01,,False,,2971,4.3738496,52.0126223,4.3509994,52.0095997
81,44788956,1584551233,2023-09-19 09:10:06,,0 days 00:05:45,2023-09-19 09:15:51,,False,,3451,4.368153,52.0023756,4.3410202,51.9964396
82,2323108159,1552650472,2023-09-19 09:10:12,,0 days 00:04:19,2023-09-19 09:14:31,,False,,2595,4.3518544,52.0166429,4.3388662,51.9995519
83,7101349295,4617340491,2023-09-19 09:10:19,,0 days 00:05:24,2023-09-19 09:15:43,,False,,3244,4.3614717,51.9842805,4.3567108,52.0037506
84,44712548,44850689,2023-09-19 09:10:45,,0 days 00:08:36,2023-09-19 09:19:21,,False,,5163,4.3562512,51.9814698,4.3404589,52.0116607
85,44793238,3581094284,2023-09-19 09:11:03,,0 days 00:05:59,2023-09-19 09:17:02,,False,,3591,4.3787078,51.9988431,4.3558363,52.0048838
86,1518087737,3669180587,2023-09-19 09:11:15,,0 days 00:09:56,2023-09-19 09:21:11,,False,,5960,4.339559,51.9805722,4.3621482,52.0189561
87,5507717333,5279883912,2023-09-19 09:11:20,,0 days 00:04:32,2023-09-19 09:15:52,,False,,2727,4.3376263,52.0131505,4.3330824,51.997275
88,912615771,1569975197,2023-09-19 09:11:23,,0 days 00:05:16,2023-09-19 09:16:39,,False,,3162,4.3716872,52.0069122,4.3597006,51.9927743
89,1460714944,5159209866,2023-09-19 09:11:33,,0 days 00:04:10,2023-09-19 09:15:43,,False,,2502,4.327621,52.009128,4.3552771,52.0098985
90,44725570,7229895328,2023-09-19 09:11:38,,0 days 00:08:57,2023-09-19 09:20:35,,False,,5377,4.3667296,51.9841874,4.333114,52.0086663
91,44714412,1448535775,2023-09-19 09:11:41,,0 days 00:05:28,2023-09-19 09:17:09,,False,,3280,4.3603,51.9818,4.3469349,51.9821035
92,44772593,44899983,2023-09-19 09:12:01,,0 days 00:06:50,2023-09-19 09:18:51,,False,,4109,4.3585777,51.9941927,4.3553952,52.0234552
93,44844082,44792321,2023-09-19 09:12:01,,0 days 00:03:33,2023-09-19 09:15:34,,False,,2138,4.3630546,52.0101572,4.3577426,51.9986954
94,1433963031,4300758655,2023-09-19 09:12:03,,0 days 00:03:52,2023-09-19 09:15:55,,False,,2326,4.3687023,51.9990906,4.3530635,52.0020464
95,1584637090,44842366,2023-09-19 09:12:05,,0 days 00:06:29,2023-09-19 09:18:34,,False,,3892,4.3525536,51.9840944,4.347924,52.0097153
96,1608998294,3151169335,2023-09-19 09:12:14,,0 days 00:05:43,2023-09-19 09:17:57,,False,,3432,4.34131,51.9884006,4.3618783,52.0010243
97,1608998282,626091907,2023-09-19 09:12:20,,0 days 00:03:32,2023-09-19 09:15:52,,False,,2122,4.336735,51.9882908,4.3549621,51.9972814
98,44840845,44791815,2023-09-19 09:12:41,,0 days 00:04:04,2023-09-19 09:16:45,,False,,2448,4.3625657,52.0093135,4.3789264,51.9985341
99,1510592095,4554554060,2023-09-19 09:12:55,,0 days 00:05:02,2023-09-19 09:17:57,,False,,3028,4.3444247,51.9874112,4.3596948,52.0004968
100,44779743,44835248,2023-09-19 09:13:21,,0 days 00:05:48,2023-09-19 09:19:09,,False,,3488,4.34237,51.9957755,4.3321263,52.0081237
101,1519890012,7229895328,2023-09-19 09:13:28,,0 days 00:08:28,2023-09-19 09:21:56,,False,,5084,4.3447617,51.9834098,4.333114,52.0086663
102,44852429,1569646643,2023-09-19 09:13:37,,0 days 00:04:33,2023-09-19 09:18:10,,False,,2736,4.3709297,52.0120223,4.3614027,52.0016495
103,1679761035,44808047,2023-09-19 09:13:41,,0 days 00:07:29,2023-09-19 09:21:10,,False,,4492,4.3497004,51.9871901,4.3777537,52.0021361
104,1448535775,1391417164,2023-09-19 09:13:51,,0 days 00:04:25,2023-09-19 09:18:16,,False,,2653,4.3469349,51.9821035,4.3432843,52.0036225
105,44852767,8463975472,2023-09-19 09:13:59,,0 days 00:07:01,2023-09-19 09:21:00,,False,,4216,4.3422067,52.0120227,4.3370691,51.9835275
106,44872846,44718825,2023-09-19 09:13:59,,0 days 00:09:09,2023-09-19 09:23:08,,False,,5491,4.355897,52.0170278,4.3568489,51.9827991
107,1934292060,1474883280,2023-09-19 09:14:06,,0 days 00:03:53,2023-09-19 09:17:59,,False,,2339,4.3716101,52.007302,4.3521305,51.9978318
108,44872123,4244384221,2023-09-19 09:14:16,,0 days 00:03:58,2023-09-19 09:18:14,,False,,2385,4.3452365,52.0168154,4.3612149,52.0059971
109,664248902,1413910874,2023-09-19 09:14:16,,0 days 00:09:30,2023-09-19 09:23:46,,False,,5704,4.357743,52.026742,4.3426,52.001628
110,1584502763,2670677180,2023-09-19 09:14:21,,0 days 00:05:45,2023-09-19 09:20:06,,False,,3450,4.3451494,51.9979894,4.3292079,52.0070116
111,60247463,44870886,2023-09-19 09:14:29,,0 days 00:08:02,2023-09-19 09:22:31,,False,,4829,4.3493076,51.9805501,4.351938,52.0165333
112,626010019,271397035,2023-09-19 09:14:31,,0 days 00:04:31,2023-09-19 09:19:02,,False,,2717,4.3553114,51.9971569,4.3605963,51.981054
113,1530303715,1435362475,2023-09-19 09:14:33,,0 days 00:03:34,2023-09-19 09:18:07,,False,,2148,4.3580433,52.0142252,4.3350003,52.0114915
114,44884858,44774830,2023-09-19 09:14:38,,0 days 00:06:35,2023-09-19 09:21:13,,False,,3957,4.349788,52.0204055,4.3586364,51.9946577
115,1608998296,5300707250,2023-09-19 09:14:47,,0 days 00:05:49,2023-09-19 09:20:36,,False,,3496,4.3346097,51.988404,4.3550447,52.0098894
116,4941026103,7098466876,2023-09-19 09:14:49,,0 days 00:04:16,2023-09-19 09:19:05,,False,,2563,4.3476513,51.9818123,4.36895,51.9887842
117,44816475,44831869,2023-09-19 09:15:05,,0 days 00:04:54,2023-09-19 09:19:59,,False,,2942,4.3756315,52.0043654,4.3498652,52.0074046
118,44856491,1552650472,2023-09-19 09:15:13,,0 days 00:05:45,2023-09-19 09:20:58,,False,,3453,4.3658149,52.0129776,4.3388662,51.9995519
119,3581094279,1830058797,2023-09-19 09:15:14,,0 days 00:05:30,2023-09-19 09:20:44,,False,,3309,4.3551531,52.0043527,4.3455769,51.9818586
120,2587864260,970525520,2023-09-19 09:15:31,,0 days 00:06:25,2023-09-19 09:21:56,,False,,3858,4.3680172,52.00636,4.3286884,52.0100011
121,5008459643,44812602,2023-09-19 09:15:38,,0 days 00:05:14,2023-09-19 09:20:52,,False,,3142,4.3815591,51.9965716,4.3586569,52.0032662
122,1571090443,1512025431,2023-09-19 09:15:51,,0 days 00:04:55,2023-09-19 09:20:46,,False,,2956,4.3502845,51.9964547,4.3694643,51.9789958
123,44836395,5300707250,2023-09-19 09:15:52,,0 days 00:03:43,2023-09-19 09:19:35,,False,,2232,4.3736925,52.008298,4.3550447,52.0098894
124,44827071,1576632851,2023-09-19 09:15:59,,0 days 00:05:06,2023-09-19 09:21:05,,False,,3066,4.3780588,52.0064227,4.3494523,51.9977565
125,44786382,44763561,2023-09-19 09:16:00,,0 days 00:04:44,2023-09-19 09:20:44,,False,,2844,4.385298,51.9971489,4.3544811,51.9922428
126,44836371,1570983291,2023-09-19 09:16:16,,0 days 00:07:50,2023-09-19 09:24:06,,False,,4705,4.3382987,52.0083142,4.3674907,51.9829427
127,4617340527,44793238,2023-09-19 09:16:20,,0 days 00:05:02,2023-09-19 09:21:22,,False,,3029,4.3587033,52.0047484,4.3787078,51.9988431
128,1584637090,44858066,2023-09-19 09:16:21,,0 days 00:07:24,2023-09-19 09:23:45,,False,,4445,4.3525536,51.9840944,4.3511523,52.0133652
129,44864084,44776713,2023-09-19 09:16:22,,0 days 00:06:32,2023-09-19 09:22:54,,False,,3920,4.371351,52.0149074,4.3601852,51.99503
130,44821045,1584550971,2023-09-19 09:16:28,,0 days 00:06:04,2023-09-19 09:22:32,,False,,3641,4.3743674,52.0052663,4.3379124,51.9960664
131,1570983285,5171908143,2023-09-19 09:16:39,,0 days 00:08:41,2023-09-19 09:25:20,,False,,5213,4.3631877,51.9829352,4.3526266,52.0186115
132,1575265438,1402734964,2023-09-19 09:16:52,,0 days 00:06:59,2023-09-19 09:23:51,,False,,4193,4.3567218,52.0171396,4.367809,51.9914765
133,44905729,44769389,2023-09-19 09:17:02,,0 days 00:07:22,2023-09-19 09:24:24,,False,,4425,4.3571748,52.0248633,4.3424393,51.9934
134,44820494,6884767739,2023-09-19 09:17:13,,0 days 00:04:17,2023-09-19 09:21:30,,False,,2575,4.3689009,52.0052285,4.3415692,52.0027327
135,1519890012,44800496,2023-09-19 09:17:23,,0 days 00:06:04,2023-09-19 09:23:27,,False,,3644,4.3447617,51.9834098,4.3623076,52.0004201
136,44866131,5119873482,2023-09-19 09:17:35,,0 days 00:04:45,2023-09-19 09:22:20,,False,,2852,4.3347201,52.0154742,4.356696,52.0051936
137,44852056,1519890024,2023-09-19 09:17:46,,0 days 00:06:31,2023-09-19 09:24:17,,False,,3919,4.3493491,52.0119654,4.3448502,51.9834329
138,1474883281,1667696847,2023-09-19 09:17:53,,0 days 00:04:26,2023-09-19 09:22:19,,False,,2667,4.3518702,51.9987744,4.3615557,51.9849587
139,1448535730,44827614,2023-09-19 09:17:58,,0 days 00:06:17,2023-09-19 09:24:15,,False,,3770,4.342351,51.9791787,4.3508762,52.0065783
140,44873227,1583992770,2023-09-19 09:18:02,,0 days 00:07:53,2023-09-19 09:25:55,,False,,4735,4.3562111,52.017161,4.360584,51.9850049
141,4810005054,1269112834,2023-09-19 09:18:06,,0 days 00:04:25,2023-09-19 09:22:31,,False,,2651,4.3683955,51.9814414,4.3500691,51.9964222
142,44812871,44847928,2023-09-19 09:18:22,,0 days 00:05:12,2023-09-19 09:23:34,,False,,3124,4.3632696,52.0033584,4.3436388,52.0110106
143,44844070,44782008,2023-09-19 09:18:26,,0 days 00:03:57,2023-09-19 09:22:23,,False,,2373,4.3545139,52.0101122,4.3576293,51.9961738
144,44768467,1576745685,2023-09-19 09:18:33,,0 days 00:03:42,2023-09-19 09:22:15,,False,,2227,4.3370946,51.9932143,4.3493096,52.0055868
145,630748798,1552650601,2023-09-19 09:18:41,,0 days 00:04:07,2023-09-19 09:22:48,,False,,2471,4.3394588,52.0134776,4.336899,51.9999067
146,1563023404,1620840079,2023-09-19 09:18:58,,0 days 00:03:50,2023-09-19 09:22:48,,False,,2309,4.3576265,51.9865602,4.35525,52.0006638
147,750069942,44804961,2023-09-19 09:18:59,,0 days 00:06:08,2023-09-19 09:25:07,,False,,3684,4.3815264,51.9977026,4.3497,52.0015
148,874115743,1667696847,2023-09-19 09:19:08,,0 days 00:05:56,2023-09-19 09:25:04,,False,,3569,4.3442667,52.0013763,4.3615557,51.9849587
149,44902836,44786364,2023-09-19 09:19:14,,0 days 00:06:31,2023-09-19 09:25:45,,False,,3917,4.3568626,52.0240986,4.3584282,51.9972431
150,1433963021,1510591475,2023-09-19 09:19:19,,0 days 00:05:42,2023-09-19 09:25:01,,False,,3424,4.3809041,51.9964125,4.3479627,51.9836634
151,44813852,7098468098,2023-09-19 09:19:26,,0 days 00:07:23,2023-09-19 09:26:49,,False,,4437,4.3418337,52.0037175,4.3715968,51.9838426
152,3452720263,390922808,2023-09-19 09:19:27,,0 days 00:05:00,2023-09-19 09:24:27,,False,,3002,4.3442942,52.0024378,4.3547157,52.0242746
153,44888946,44796534,2023-09-19 09:19:30,,0 days 00:05:43,2023-09-19 09:25:13,,False,,3435,4.3586275,52.021168,4.3554016,51.9995658
154,366654673,8367860558,2023-09-19 09:19:31,,0 days 00:06:57,2023-09-19 09:26:28,,False,,4171,4.3342047,52.0097435,4.3761491,52.0093187
155,1448535854,5119873482,2023-09-19 09:19:41,,0 days 00:05:45,2023-09-19 09:25:26,,False,,3458,4.3509701,51.9862421,4.356696,52.0051936
156,4810005054,44798266,2023-09-19 09:19:42,,0 days 00:04:36,2023-09-19 09:24:18,,False,,2766,4.3683955,51.9814414,4.3570589,51.9999399
157,1435362475,44755694,2023-09-19 09:19:46,,0 days 00:06:09,2023-09-19 09:25:55,,False,,3691,4.3350003,52.0114915,4.3565888,51.9904374
158,2572707863,44893325,2023-09-19 09:19:47,,0 days 00:05:39,2023-09-19 09:25:26,,False,,3392,4.3669026,52.0020167,4.3523648,52.0222389
159,1833104301,44837766,2023-09-19 09:19:55,,0 days 00:04:27,2023-09-19 09:24:22,,False,,2674,4.3375044,51.994375,4.3513845,52.0087004
160,1831506883,549099496,2023-09-19 09:20:08,,0 days 00:09:15,2023-09-19 09:29:23,,False,,5553,4.3612198,51.9819552,4.3609659,52.0147742
161,44861085,1530303598,2023-09-19 09:20:23,,0 days 00:04:39,2023-09-19 09:25:02,,False,,2797,4.3413581,52.0141005,4.3659412,52.0102199
162,4438942332,1402771664,2023-09-19 09:20:31,,0 days 00:03:43,2023-09-19 09:24:14,,False,,2234,4.3561004,52.0029869,4.3522324,51.9872303
163,1679761048,4438942332,2023-09-19 09:20:51,,0 days 00:03:51,2023-09-19 09:24:42,,False,,2310,4.3463555,51.9883321,4.3561004,52.0029869
164,44777318,44823036,2023-09-19 09:20:54,,0 days 00:03:28,2023-09-19 09:24:22,,False,,2089,4.3818973,51.9951887,4.3649244,52.0057672
165,44864977,44832711,2023-09-19 09:20:55,,0 days 00:03:24,2023-09-19 09:24:19,,False,,2046,4.3355,52.0151,4.3519503,52.0075841
166,5119873484,44734726,2023-09-19 09:21:00,,0 days 00:05:33,2023-09-19 09:26:33,,False,,3334,4.3563443,52.0049608,4.3641424,51.9859244
167,2321923795,1433962914,2023-09-19 09:21:06,,0 days 00:05:10,2023-09-19 09:26:16,,False,,3108,4.3520093,52.0031914,4.3710999,51.9847749
168,4228809539,2673589215,2023-09-19 09:21:16,,0 days 00:05:38,2023-09-19 09:26:54,,False,,3388,4.3540308,52.0022546,4.3275971,52.0081297
169,1513191904,1436427174,2023-09-19 09:21:18,,0 days 00:04:36,2023-09-19 09:25:54,,False,,2764,4.3434744,52.0137413,4.368024,52.0108508
170,1410536956,1435362424,2023-09-19 09:21:25,,0 days 00:07:13,2023-09-19 09:28:38,,False,,4331,4.3815955,52.006521,4.3387264,52.0085081
171,44868297,1584550971,2023-09-19 09:21:29,,0 days 00:06:48,2023-09-19 09:28:17,,False,,4089,4.3596631,52.0159836,4.3379124,51.9960664
172,44754398,1566353714,2023-09-19 09:21:32,,0 days 00:03:52,2023-09-19 09:25:24,,False,,2325,4.3533724,51.9901432,4.3422008,51.980989
173,2381861256,1366634977,2023-09-19 09:21:40,,0 days 00:05:54,2023-09-19 09:27:34,,False,,3548,4.3661929,51.9851207,4.3433612,52.0078465
174,4474353182,2321923795,2023-09-19 09:21:40,,0 days 00:04:10,2023-09-19 09:25:50,,False,,2503,4.3437769,51.9856583,4.3520093,52.0031914
175,248191377,2296738292,2023-09-19 09:21:46,,0 days 00:05:13,2023-09-19 09:26:59,,False,,3137,4.363996,51.9849768,4.3468613,51.9972069
